failed_accession	gene_names	gene_mapping_source	protein_description	reviewed_status	failed_sequence_length	failed_sequence_sha256	PWM_annotation_level	PWM_source_or_model	legacy_family_text	accepted_pfam_hits	reviewed_DBD_pfam_hits	uncertain_pfam_hits	non_DBD_pfam_hits	DBD_present_by_reviewed_pfam	DBD_fragment_ids	DBD_fragment_sent	DBD_fragment_models_checked	DBD_fragment_passing_model_count	DBD_fragment_best_model_path	DBD_fragment_interface_result	non_DBD_contacting_fragment_ids	canonical_reference_accession	canonical_reference_selection_reason	canonical_reference_reviewed_status	canonical_reference_sequence_length	canonical_reference_DBD_context	canonical_reference_model_path	canonical_reference_model_interval	canonical_reference_interface_result	canonical_reference_atom_contacts	canonical_reference_protein_interface_residues	canonical_reference_dna_interface_residues	failed_to_canonical_full_alignment_length	failed_to_canonical_full_identity_percent	canonical_DBD_residues_covered_by_failed	canonical_DBD_coverage_percent	canonical_DBD_identity_percent	failed_coordinates_corresponding_to_DBD	accession_DBD_presence_evidence	primary_structural_status	canonical_reference_status	action_for_baldo	database_display_recommendation	decision_reason	manual_review_required	manual_review_reason	classification_confidence
B4E2G3	CREB3L4	BLANK_GENE_MAPPING:clear_from_description	cDNA FLJ58974, highly similar to Homo sapiens cAMP responsive element binding protein 3-like 4 (CREB3L4), mRNA	UNREVIEWED	202	d892178318ee5ab1568ddd05198b7422db64155532509f290bb37692482b1761	Homologous_PWM	MA1474.1 (98.6%)						NO		NOT_APPLICABLE	0	0				Q8TEY5	BLANK_GENE_MAPPING_TO_EXPLICIT_INTERFACE_AUDITED_REFERENCE:clear_from_description	REVIEWED	395	PF00170:215-273:bZIP transcription factor	/data/sbi/interchange/boliva/patricia/models/TFS_Q8TEY5:218:259_1t2k_C_1.pdb	218-259	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	62	7	4	395	87.62	8	13.56	75.00	150-157	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
B5MCD3	HOXD12	FAILED_ACCESSION_ANNOTATION	Homeobox D12	UNREVIEWED	246	c6fd7e539d2cc29d19348fdc513a26d5a8e93572d0d8aa717d7118cdf407f97d	Homologous_PWM	MA0873.1 (97.0%)						NO		NOT_APPLICABLE	0	0				P35452	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	270	PF00046:203-259:Homeodomain	/data/sbi/interchange/boliva/patricia/models/TFS_P35452:203:259_5zjr_A_1.pdb	203-259	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	621	40	22	273	87.24	38	66.67	39.47	203-243	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
B7Z8F5	RFX2	BLANK_GENE_MAPPING:clear_from_description	cDNA FLJ53376, highly similar to DNA-binding protein RFX2	UNREVIEWED	510	36bf845587c92853ec482a54eea853a0f345c0a23361566291cb229947094d76	Homologous_PWM	M02450_2.00 (76.3%);MA0600.1 (75.0%)	RFX1_trans_act	PF04589:1-51:RFX1 transcription activation region;PF25340:158-446:RFX BCD domain			PF04589:1-51:RFX1 transcription activation region;PF25340:158-446:RFX BCD domain	NO		NOT_APPLICABLE	0	0				P48378	BLANK_GENE_MAPPING_TO_REVIEWED_CANONICAL_ACCESSION:clear_from_description	REVIEWED	723	PF02257:199-273:RFX DNA-binding domain			NOT_VALIDATED				723	99.80	15	20.00	93.33	46-60	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
C9JPH0	CREB3L2	FAILED_ACCESSION_ANNOTATION	cAMP responsive element binding protein 3 like 2	UNREVIEWED	185	dd9c3a8760667e05a4ff8cff5ab1b8d84cf8ac0aa51d8f8fc9600dd2de53f94d	Homologous_PWM	MA0608.1 (87.0%)						NO		NOT_APPLICABLE	0	0				Q70SY1	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	520	PF00170:292-354:bZIP transcription factor	/data/sbi/interchange/boliva/patricia/models/TFS_Q70SY1:295:354_1t2k_C_1.pdb	295-354	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	57	8	6	520	91.35	14	22.22	71.43	140-153	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
D1LUZ8	C20orf112/RUNX1 fusion	FAILED_ACCESSION_ANNOTATION	C20orf112/RUNX1 fusion protein	UNREVIEWED	170	9fee1d52525405b031a72ac70f04611ca2feebe65f52c6a9206267b4c093ff9b	Homologous_PWM	M09371_2.00 (98.5%);MA0002.1 (99.2%)						NO		NOT_APPLICABLE	0	0											NOT_VALIDATED										NO_CANONICAL_REFERENCE	UNCERTAIN_MANUAL_REVIEW	NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	No decisive reviewed-Pfam or canonical-alignment evidence.	LOW
D6RID7	LEF1	FAILED_ACCESSION_ANNOTATION	Lymphoid enhancer binding factor 1	UNREVIEWED	133	3c6b5d9b391a45968f93520ab8e9b8fe0a2f5afbfc4c021e504825f28167449c	Homologous_PWM	M09392_2.00 (98.5%);MA0768.1 (98.5%)	CTNNB1_binding	PF08347:2-105:N-terminal CTNNB1 binding			PF08347:2-105:N-terminal CTNNB1 binding	NO		NOT_APPLICABLE	0	0				Q9UJU2	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	399	PF00505:299-367:HMG (high mobility group) box	/data/sbi/interchange/boliva/patricia/models/TFS_Q9UJU2:297:366_4s2q_D_1.pdb	297-366	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	280	18	12	399	78.95	12	17.39	75.00	98-109	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
E9PKB7	TEAD1	FAILED_ACCESSION_ANNOTATION	TEA domain transcription factor 1	UNREVIEWED	330	c887fd4935d15664706a1d3279a66a36d37deb4d9bf4bf3e01ed9eb74eee384c	Identical_PWM	MA0090.1	TEA	PF17725:119-327:YAP binding domain			PF17725:119-327:YAP binding domain	NO		NOT_APPLICABLE	0	0			E9PKB7|PF17725|119-327	H0YE88	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	426	PF01285:32-98:TEA/ATTS domain	/data/sbi/interchange/boliva/patricia/models/TFS_H0YE88:31:104_5nnx_A_1.pdb	31-104	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	178	10	6	426	98.48	9	13.43	55.56	3-11	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
E9PQA2	USF1	FAILED_ACCESSION_ANNOTATION	Upstream transcription factor 1	UNREVIEWED	105	135f203510d613d63abdfefd5eadab84e3fcc009f63dc5b1c5e571245acf0e07	Identical_PWM	MA0093.1						NO		NOT_APPLICABLE	0	0				H0YD59	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	165	PF00010:67-101:Helix-loop-helix DNA-binding domain	/data/sbi/interchange/boliva/patricia/models/TFS_H0YD59:63:102_4h10_A_1.pdb	63-102	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	175	12	11	166	33.65	14	40.00	35.71	50-63	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
F6X9D6	RFX5	FAILED_ACCESSION_ANNOTATION	Regulatory factor X5	UNREVIEWED	123	85c9b43d8fff47e624077fa63177842f8f71332fdd7e85f841c26522c1de5222	Identical_PWM	MA0510.1	RFX_DNA_binding,Pox_D5	PF18326:28-86:RFX5 N-terminal domain			PF18326:28-86:RFX5 N-terminal domain	NO		NOT_APPLICABLE	0	0											NOT_VALIDATED										NO_CANONICAL_REFERENCE	UNCERTAIN_MANUAL_REVIEW	NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	No decisive reviewed-Pfam or canonical-alignment evidence.	LOW
G3V0H1	SOX5	FAILED_ACCESSION_ANNOTATION	SRY-box transcription factor 5	UNREVIEWED	128	c11eff9c663bd566fd83ae6db06d7fc22245940def6d19ce69c594100a7d7036	Homologous_PWM	M09404_2.00 (73.7%);M11309_2.00 (76.1%);MA0087.1 (73.1%)						NO		NOT_APPLICABLE	0	0				P35711	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	763	PF00505:556-624:HMG (high mobility group) box	/data/sbi/interchange/boliva/patricia/models/TFS_P35711:553:634_1j46_A_1.pdb	553-634	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	476	30	17	763	100.00	7	10.14	100.00	112-118	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
G3V289	FOS	FAILED_ACCESSION_ANNOTATION	Protein c-Fos (Cellular oncogene fos)	UNREVIEWED	170	7af35744005ed25ccc3c97a8dd73cd9c17cb53c8255d3bd0643854436cd2b818	Homologous_PWM	MA0099.1 (90.1%);MA0099.2 (99.2%)						NO		NOT_APPLICABLE	0	0				P01100	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	380	PF00170:135-194:bZIP transcription factor	/data/sbi/interchange/boliva/patricia/models/TFS_P01100:135:193_2e42_B_1.pdb	135-193	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	320	9	7	380	92.35	7	11.67	57.14	132-138	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
G3V302	MAX	FAILED_ACCESSION_ANNOTATION	MYC associated factor X	UNREVIEWED	97	e59833a54b616e11a62591ae7bc85270e2bce504bedcf75e1dbc228a4a3164d0	Homologous_PWM	M08778_2.00 (92.3%);MA0058.1 (93.8%)						NO		NOT_APPLICABLE	0	0				Q8TAX8	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	151	PF00010:15-65:Helix-loop-helix DNA-binding domain	/data/sbi/interchange/boliva/patricia/models/TFS_Q8TAX8:10:75_1am9_A_1.pdb	10-75	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	504	8	6	151	79.38	25	49.02	52.00	9-33	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
G3V447	ZBTB1	FAILED_ACCESSION_ANNOTATION	Zinc finger and BTB domain-containing protein 1	UNREVIEWED	155	ec21bb2d144af2f61c0c3a3e8dccd21c7889223840504348190e6cb0fe13229d	Homologous_PWM	M00775_2.00 (98.7%)	BTB,CYTH	PF00651:14-115:BTB/POZ domain			PF00651:14-115:BTB/POZ domain	NO		NOT_APPLICABLE	0	0											NOT_VALIDATED										NO_CANONICAL_REFERENCE	UNCERTAIN_MANUAL_REVIEW	NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	No decisive reviewed-Pfam or canonical-alignment evidence.	LOW
H0Y7E5	SREBF2	FAILED_ACCESSION_ANNOTATION	Sterol regulatory element binding transcription factor 2	UNREVIEWED	257	9bedf3e640b606a7368c91f2c91c265507b61deb76c3554603089251204a8b8a	Homologous_PWM	MA0596.1 (74.2%)						NO		NOT_APPLICABLE	0	0				Q12772	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	1141	PF00010:331-381:Helix-loop-helix DNA-binding domain	/data/sbi/interchange/boliva/patricia/models/TFS_Q12772:323:398_1hlo_A_1.pdb	323-398	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	373	22	18	1141	72.37	9	17.65	66.67	65-73	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
