accession	in_sent_fasta	fasta_header	sequence_length	af3_return_found	af3_model_count	af3_model_paths	confidence_json_found	pae_json_found	protein_present	dna_present	valid_interface_any_model	best_model_path	best_model_rank	atom_contacts	protein_interface_residues	dna_interface_residues	final_return_status	notes
A0A7P0T992	YES	A0A7P0T992|gene=ATF6|primary=Identical_PWM|family=NICE-3|no_active_pdb_model Activating transcription factor 6	286	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A7P0T992/A0A7P0T992_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0T992/seed-1_sample-0/A0A7P0T992_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0T992/seed-1_sample-1/A0A7P0T992_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0T992/seed-1_sample-2/A0A7P0T992_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0T992/seed-1_sample-3/A0A7P0T992_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0T992/seed-1_sample-4/A0A7P0T992_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A7P0T992/A0A7P0T992_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A7P0TAB8	YES	A0A7P0TAB8|gene=ATF6|primary=Identical_PWM|family=|no_active_pdb_model Activating transcription factor 6	89	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A7P0TAB8/A0A7P0TAB8_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0TAB8/seed-1_sample-0/A0A7P0TAB8_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0TAB8/seed-1_sample-1/A0A7P0TAB8_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0TAB8/seed-1_sample-2/A0A7P0TAB8_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0TAB8/seed-1_sample-3/A0A7P0TAB8_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A7P0TAB8/seed-1_sample-4/A0A7P0TAB8_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A7P0TAB8/A0A7P0TAB8_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A804HIG1	YES	A0A804HIG1|gene=PPARG|primary=Identical_PWM|family=PPARgamma_N|no_active_pdb_model Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	92	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A804HIG1/A0A804HIG1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A804HIG1/seed-1_sample-0/A0A804HIG1_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A804HIG1/seed-1_sample-1/A0A804HIG1_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A804HIG1/seed-1_sample-2/A0A804HIG1_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A804HIG1/seed-1_sample-3/A0A804HIG1_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A804HIG1/seed-1_sample-4/A0A804HIG1_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A804HIG1/A0A804HIG1_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A804HLH1	YES	A0A804HLH1|gene=PPARG|primary=Identical_PWM|family=PPARgamma_N|no_active_pdb_model Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	77	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A804HLH1/A0A804HLH1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A804HLH1/seed-1_sample-0/A0A804HLH1_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A804HLH1/seed-1_sample-1/A0A804HLH1_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A804HLH1/seed-1_sample-2/A0A804HLH1_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A804HLH1/seed-1_sample-3/A0A804HLH1_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A804HLH1/seed-1_sample-4/A0A804HLH1_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A804HLH1/A0A804HLH1_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A8Q3WLX6	YES	A0A8Q3WLX6|gene=ZBTB18|primary=Identical_PWM|family=BTB|no_active_pdb_model Zinc finger and BTB domain containing 18	227	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A8Q3WLX6/A0A8Q3WLX6_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8Q3WLX6/seed-1_sample-0/A0A8Q3WLX6_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8Q3WLX6/seed-1_sample-1/A0A8Q3WLX6_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8Q3WLX6/seed-1_sample-2/A0A8Q3WLX6_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8Q3WLX6/seed-1_sample-3/A0A8Q3WLX6_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8Q3WLX6/seed-1_sample-4/A0A8Q3WLX6_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A8Q3WLX6/A0A8Q3WLX6_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A8V8TLI6	YES	A0A8V8TLI6|gene=STAT1|primary=Identical_PWM|family=Sfi1_C,STAT_alpha,STAT_int|no_active_pdb_model Signal transducer and activator of transcription 1	212	YES	18	/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6/A0A8V8TLI6_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6/seed-1_sample-0/A0A8V8TLI6_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6/seed-1_sample-1/A0A8V8TLI6_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6/seed-1_sample-2/A0A8V8TLI6_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6/seed-1_sample-3/A0A8V8TLI6_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6/seed-1_sample-4/A0A8V8TLI6_seed-1_sample-4_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6_dimer/A0A8V8TLI6_dimer_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6_dimer/seed-1_sample-0/A0A8V8TLI6_dimer_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6_dimer/seed-1_sample-1/A0A8V8TLI6_dimer_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6_dimer/seed-1_sample-2/A0A8V8TLI6_dimer_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6_dimer/seed-1_sample-3/A0A8V8TLI6_dimer_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6_dimer/seed-1_sample-4/A0A8V8TLI6_dimer_seed-1_sample-4_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6_monomer/A0A8V8TLI6_monomer_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6_monomer/seed-1_sample-0/A0A8V8TLI6_monomer_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6_monomer/seed-1_sample-1/A0A8V8TLI6_monomer_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6_monomer/seed-1_sample-2/A0A8V8TLI6_monomer_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6_monomer/seed-1_sample-3/A0A8V8TLI6_monomer_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6_monomer/seed-1_sample-4/A0A8V8TLI6_monomer_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TLI6/A0A8V8TLI6_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=18.
A0A8V8TM03	YES	A0A8V8TM03|gene=ZBTB18|primary=Identical_PWM|family=BTB|no_active_pdb_model Zinc finger and BTB domain containing 18	139	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TM03/A0A8V8TM03_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TM03/seed-1_sample-0/A0A8V8TM03_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TM03/seed-1_sample-1/A0A8V8TM03_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TM03/seed-1_sample-2/A0A8V8TM03_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TM03/seed-1_sample-3/A0A8V8TM03_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TM03/seed-1_sample-4/A0A8V8TM03_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A8V8TM03/A0A8V8TM03_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A994J4I4	YES	A0A994J4I4|gene=SOX5|primary=Identical_PWM|family=|no_active_pdb_model SRY-box transcription factor 5	229	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A994J4I4/A0A994J4I4_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A994J4I4/seed-1_sample-0/A0A994J4I4_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A994J4I4/seed-1_sample-1/A0A994J4I4_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A994J4I4/seed-1_sample-2/A0A994J4I4_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A994J4I4/seed-1_sample-3/A0A994J4I4_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A994J4I4/seed-1_sample-4/A0A994J4I4_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A994J4I4/A0A994J4I4_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A0A994J7B2	YES	A0A994J7B2|gene=TCF3|primary=Identical_PWM|family=|no_active_pdb_model Transcription factor 3	132	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A0A994J7B2/A0A994J7B2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A994J7B2/seed-1_sample-0/A0A994J7B2_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A994J7B2/seed-1_sample-1/A0A994J7B2_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A994J7B2/seed-1_sample-2/A0A994J7B2_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A994J7B2/seed-1_sample-3/A0A994J7B2_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A0A994J7B2/seed-1_sample-4/A0A994J7B2_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A0A994J7B2/A0A994J7B2_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A2AB93	YES	A2AB93|gene=ZBTB22|primary=Identical_PWM|family=HOK_GEF,BTB|no_active_pdb_model Zinc finger and BTB domain containing 22	149	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A2AB93/A2AB93_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A2AB93/seed-1_sample-0/A2AB93_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A2AB93/seed-1_sample-1/A2AB93_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A2AB93/seed-1_sample-2/A2AB93_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A2AB93/seed-1_sample-3/A2AB93_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A2AB93/seed-1_sample-4/A2AB93_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A2AB93/A2AB93_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A2RRN1	YES	A2RRN1|gene=CREB3L2|primary=Homologous_PWM|family=|no_active_pdb_model CREB3L2 protein	174	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A2RRN1/A2RRN1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A2RRN1/seed-1_sample-0/A2RRN1_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A2RRN1/seed-1_sample-1/A2RRN1_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A2RRN1/seed-1_sample-2/A2RRN1_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A2RRN1/seed-1_sample-3/A2RRN1_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A2RRN1/seed-1_sample-4/A2RRN1_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A2RRN1/A2RRN1_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A8K549	YES	A8K549|gene=|primary=Identical_PWM|family=|no_active_pdb_model cDNA FLJ78348	248	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A8K549/A8K549_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A8K549/seed-1_sample-0/A8K549_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A8K549/seed-1_sample-1/A8K549_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A8K549/seed-1_sample-2/A8K549_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A8K549/seed-1_sample-3/A8K549_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A8K549/seed-1_sample-4/A8K549_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A8K549/A8K549_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
A8MTU8	YES	A8MTU8|gene=|primary=Homologous_PWM|family=|no_active_pdb_model cDNA FLJ38006 fis, clone CTONG2012422, highly similar to Sterol regulatory element-binding protein 1	766	YES	6	/data/sbi/interchange/boliva/patricia/AF3/A8MTU8/A8MTU8_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A8MTU8/seed-1_sample-0/A8MTU8_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A8MTU8/seed-1_sample-1/A8MTU8_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A8MTU8/seed-1_sample-2/A8MTU8_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A8MTU8/seed-1_sample-3/A8MTU8_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/A8MTU8/seed-1_sample-4/A8MTU8_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/A8MTU8/A8MTU8_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
B1AKB1	YES	B1AKB1|gene=TFEB|primary=Identical_PWM|family=DUF605,Suf,MAS20|no_active_pdb_model Transcription factor EB	222	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B1AKB1/B1AKB1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B1AKB1/seed-1_sample-0/B1AKB1_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B1AKB1/seed-1_sample-1/B1AKB1_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B1AKB1/seed-1_sample-2/B1AKB1_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B1AKB1/seed-1_sample-3/B1AKB1_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B1AKB1/seed-1_sample-4/B1AKB1_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B1AKB1/B1AKB1_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
B1NY96	YES	B1NY96|gene=TCF3-ZNF384,fusion|primary=Identical_PWM|family=|no_active_pdb_model E2A-NMP4 fusion protein	197	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B1NY96/B1NY96_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B1NY96/seed-1_sample-0/B1NY96_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B1NY96/seed-1_sample-1/B1NY96_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B1NY96/seed-1_sample-2/B1NY96_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B1NY96/seed-1_sample-3/B1NY96_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B1NY96/seed-1_sample-4/B1NY96_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B1NY96/B1NY96_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
B3KU95	YES	B3KU95|gene=|primary=Identical_PWM|family=|no_active_pdb_model cDNA FLJ39423 fis, clone PROST1000322, highly similar to HOMEOBOX PROTEIN HOX-A2	248	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B3KU95/B3KU95_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B3KU95/seed-1_sample-0/B3KU95_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B3KU95/seed-1_sample-1/B3KU95_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B3KU95/seed-1_sample-2/B3KU95_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B3KU95/seed-1_sample-3/B3KU95_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B3KU95/seed-1_sample-4/B3KU95_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B3KU95/B3KU95_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
B4DHE0	YES	B4DHE0|gene=|primary=Homologous_PWM|family=STAT_alpha,STAT_int,CorA|no_active_pdb_model cDNA FLJ56695, highly similar to Signal transducer and activator of transcription 2 (cDNA, FLJ79415, highly similar to Signal transducer and activator of transcription 2)	203	YES	18	/data/sbi/interchange/boliva/patricia/AF3/B4DHE0/B4DHE0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0/seed-1_sample-0/B4DHE0_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0/seed-1_sample-1/B4DHE0_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0/seed-1_sample-2/B4DHE0_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0/seed-1_sample-3/B4DHE0_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0/seed-1_sample-4/B4DHE0_seed-1_sample-4_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0_dimer/B4DHE0_dimer_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0_dimer/seed-1_sample-0/B4DHE0_dimer_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0_dimer/seed-1_sample-1/B4DHE0_dimer_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0_dimer/seed-1_sample-2/B4DHE0_dimer_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0_dimer/seed-1_sample-3/B4DHE0_dimer_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0_dimer/seed-1_sample-4/B4DHE0_dimer_seed-1_sample-4_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0_monomer/B4DHE0_monomer_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0_monomer/seed-1_sample-0/B4DHE0_monomer_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0_monomer/seed-1_sample-1/B4DHE0_monomer_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0_monomer/seed-1_sample-2/B4DHE0_monomer_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0_monomer/seed-1_sample-3/B4DHE0_monomer_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DHE0_monomer/seed-1_sample-4/B4DHE0_monomer_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B4DHE0_dimer/B4DHE0_dimer_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=18.
B4DL38	YES	B4DL38|gene=|primary=Homologous_PWM|family=DUF3446|no_active_pdb_model cDNA FLJ54816, highly similar to Early growth response protein 2	261	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B4DL38/B4DL38_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DL38/seed-1_sample-0/B4DL38_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DL38/seed-1_sample-1/B4DL38_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DL38/seed-1_sample-2/B4DL38_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DL38/seed-1_sample-3/B4DL38_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DL38/seed-1_sample-4/B4DL38_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B4DL38/B4DL38_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
B4DNX4	YES	B4DNX4|gene=|primary=Identical_PWM|family=DUF3432|no_active_pdb_model cDNA FLJ56577, highly similar to Early growth response protein 1	200	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B4DNX4/B4DNX4_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DNX4/seed-1_sample-0/B4DNX4_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DNX4/seed-1_sample-1/B4DNX4_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DNX4/seed-1_sample-2/B4DNX4_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DNX4/seed-1_sample-3/B4DNX4_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DNX4/seed-1_sample-4/B4DNX4_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B4DNX4/B4DNX4_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
B4DTN3	YES	B4DTN3|gene=|primary=Homologous_PWM|family=FAST_1,DARPP-32|no_active_pdb_model cDNA FLJ58424, highly similar to MBD2-interacting zinc finger protein	143	YES	6	/data/sbi/interchange/boliva/patricia/AF3/B4DTN3/B4DTN3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DTN3/seed-1_sample-0/B4DTN3_seed-1_sample-0_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DTN3/seed-1_sample-1/B4DTN3_seed-1_sample-1_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DTN3/seed-1_sample-2/B4DTN3_seed-1_sample-2_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DTN3/seed-1_sample-3/B4DTN3_seed-1_sample-3_model.cif;/data/sbi/interchange/boliva/patricia/AF3/B4DTN3/seed-1_sample-4/B4DTN3_seed-1_sample-4_model.cif	YES	YES	YES	YES	NO	/data/sbi/interchange/boliva/patricia/AF3/B4DTN3/B4DTN3_model.cif	1	0	0	0	AF3_RETURN_EMPTY_INTERFACE	Preferred complete empty-interface model by ranking score and selected-model status. Model results: FAIL_EMPTY_PROTEIN_DNA_INTERFACE=6.
