failed_accession	gene_names	gene_mapping_source	protein_description	reviewed_status	failed_sequence_length	failed_sequence_sha256	PWM_annotation_level	PWM_source_or_model	legacy_family_text	accepted_pfam_hits	reviewed_DBD_pfam_hits	uncertain_pfam_hits	non_DBD_pfam_hits	DBD_present_by_reviewed_pfam	DBD_fragment_ids	DBD_fragment_sent	DBD_fragment_models_checked	DBD_fragment_passing_model_count	DBD_fragment_best_model_path	DBD_fragment_interface_result	non_DBD_contacting_fragment_ids	canonical_reference_accession	canonical_reference_selection_reason	canonical_reference_reviewed_status	canonical_reference_sequence_length	canonical_reference_DBD_context	canonical_reference_model_path	canonical_reference_model_interval	canonical_reference_interface_result	canonical_reference_atom_contacts	canonical_reference_protein_interface_residues	canonical_reference_dna_interface_residues	failed_to_canonical_full_alignment_length	failed_to_canonical_full_identity_percent	canonical_DBD_residues_covered_by_failed	canonical_DBD_coverage_percent	canonical_DBD_identity_percent	failed_coordinates_corresponding_to_DBD	accession_DBD_presence_evidence	primary_structural_status	canonical_reference_status	action_for_baldo	database_display_recommendation	decision_reason	manual_review_required	manual_review_reason	classification_confidence
A0A7P0T8Y1	ATF6	FAILED_ACCESSION_ANNOTATION	Activating transcription factor 6	UNREVIEWED	150	b318de6e1190ba01ca669cc8ce085e975691636ab5afb8c14b8c2bc305cad553	Identical_PWM	MA1466.1	NICE-3					NO		NOT_APPLICABLE	0	0				A0A7P0TAH1	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	700	PF00170:307-366:bZIP transcription factor	/data/sbi/interchange/boliva/patricia/models/TFS_A0A7P0TAH1:289:362_1nkp_A_1.pdb	289-362	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	126	11	12	700	100.00	2	3.33	100.00	127-128	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A7P0T992	ATF6	FAILED_ACCESSION_ANNOTATION	Activating transcription factor 6	UNREVIEWED	286	026690aa0fc7bb1b4bf7b3bf4fdc2143de990a920c16bd76932dfddfc6b041d4	Identical_PWM	MA1466.1	NICE-3					NO		NOT_APPLICABLE	0	0				A0A7P0TAH1	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	700	PF00170:307-366:bZIP transcription factor	/data/sbi/interchange/boliva/patricia/models/TFS_A0A7P0TAH1:289:362_1nkp_A_1.pdb	289-362	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	126	11	12	700	95.80	6	10.00	83.33	231-236	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A7P0TAB8	ATF6	FAILED_ACCESSION_ANNOTATION	Activating transcription factor 6	UNREVIEWED	89	8aba7e54ff41fc9b954159b2a8eebee15ed8ef157ac7aa1631f0694f5143b4b7	Identical_PWM	MA1466.1						NO		NOT_APPLICABLE	0	0				A0A7P0TAH1	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	700	PF00170:307-366:bZIP transcription factor	/data/sbi/interchange/boliva/patricia/models/TFS_A0A7P0TAH1:289:362_1nkp_A_1.pdb	289-362	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	126	11	12	700	100.00	1	1.67	100.00	75-75	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A804HIG1	PPARG	FAILED_ACCESSION_ANNOTATION	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	UNREVIEWED	92	5cbe4d87643775a8a242e59f1003c712cb4af78aa2fdd69e4dc0e6836a133260	Identical_PWM	M11139_2.00	PPARgamma_N	PF12577:1-78:PPAR gamma N-terminal region			PF12577:1-78:PPAR gamma N-terminal region	NO		NOT_APPLICABLE	0	0				Q4W4C7	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	280	PF00105:124-190:Double treble clef zinc finger, C4 type	/data/sbi/interchange/boliva/patricia/models/TFS_Q4W4C7:121:201_1a6y_B_1.pdb	121-201	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	670	20	17	280	100.00	4	5.97	100.00	87-90	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A804HLH1	PPARG	FAILED_ACCESSION_ANNOTATION	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	UNREVIEWED	77	609d3929bfb8b0c8da42cd50ee08429d66a828f6056c3f1a0ce6735a6ffc7cdd	Identical_PWM	M11139_2.00	PPARgamma_N	PF12577:1-66:PPAR gamma N-terminal region			PF12577:1-66:PPAR gamma N-terminal region	NO		NOT_APPLICABLE	0	0				Q4W4C7	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	280	PF00105:124-190:Double treble clef zinc finger, C4 type	/data/sbi/interchange/boliva/patricia/models/TFS_Q4W4C7:121:201_1a6y_B_1.pdb	121-201	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	670	20	17	280	98.70	7	10.45	100.00	62-68	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
A0A8Q3WLX6	ZBTB18	FAILED_ACCESSION_ANNOTATION	Zinc finger and BTB domain containing 18	UNREVIEWED	227	cbba98282aa0f4adb5f22035408e9e7e7296a64f88165bec2b1b7beee91c816d	Identical_PWM	MA0698.1	BTB	PF00651:14-120:BTB/POZ domain			PF00651:14-120:BTB/POZ domain	NO		NOT_APPLICABLE	0	0				Q99592	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	522	PF13894:411-432:C2H2-type zinc finger;PF00096:438-460:Zinc finger, C2H2 type;PF00096:466-489:Zinc finger, C2H2 type	/data/sbi/interchange/boliva/patricia/models/TFS_Q99592:409:485_1ubd_C_1.pdb	409-485	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	300	18	8	522	100.00	6	7.59	100.00	221-226	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A8V8TLI6	STAT1	FAILED_ACCESSION_ANNOTATION	Signal transducer and activator of transcription 1	UNREVIEWED	212	82d3ef206757a88bc3c4601ca71128abee3f5afd3a8a67bdb5c12f7b19401a5f	Identical_PWM	M08014_2.00	Sfi1_C,STAT_alpha,STAT_int	PF02865:2-119:STAT protein, protein interaction domain;PF01017:144-212:STAT transcription factor, coiled-coil domain			PF02865:2-119:STAT protein, protein interaction domain;PF01017:144-212:STAT transcription factor, coiled-coil domain	NO		NOT_APPLICABLE	0	0				A0A669KB52	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	636	PF02864:322-458:STAT protein, DNA binding domain	/data/sbi/interchange/boliva/patricia/models/TFS_A0A669KB52:136:624_1bf5_A_1.pdb	136-624	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	162	8	5	636	100.00	7	5.11	100.00	196-202	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A8V8TM03	ZBTB18	FAILED_ACCESSION_ANNOTATION	Zinc finger and BTB domain containing 18	UNREVIEWED	139	b7ddcd81c7ea38592d1757fc35ccb7277153e4cddc142c7a456bf5798e3e134b	Identical_PWM	MA0698.1	BTB	PF00651:14-120:BTB/POZ domain			PF00651:14-120:BTB/POZ domain	NO		NOT_APPLICABLE	0	0				Q99592	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	522	PF13894:411-432:C2H2-type zinc finger;PF00096:438-460:Zinc finger, C2H2 type;PF00096:466-489:Zinc finger, C2H2 type	/data/sbi/interchange/boliva/patricia/models/TFS_Q99592:409:485_1ubd_C_1.pdb	409-485	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	300	18	8	522	100.00	2	2.53	100.00	135-136	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A994J4I4	SOX5	FAILED_ACCESSION_ANNOTATION	SRY-box transcription factor 5	UNREVIEWED	229	59aa5b0e627adffa60395da26012d88e6d5d55f4ff07f3f19539e44745791c54	Identical_PWM	M11309_2.00						NO		NOT_APPLICABLE	0	0				P35711	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	763	PF00505:556-624:HMG (high mobility group) box	/data/sbi/interchange/boliva/patricia/models/TFS_P35711:553:634_1j46_A_1.pdb	553-634	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	476	30	17	763	100.00	3	4.35	100.00	224-226	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
A0A994J7B2	TCF3	FAILED_ACCESSION_ANNOTATION	Transcription factor 3	UNREVIEWED	132	3145943cc4178a2ca097665603a5c7e1bb3aaeb4006b4d23fcf13afc715c84b3	Identical_PWM	MA0091.1						NO		NOT_APPLICABLE	0	0				K7ENH8	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	UNREVIEWED	314	PF00010:210-262:Helix-loop-helix DNA-binding domain	/data/sbi/interchange/boliva/patricia/models/TFS_K7ENH8:199:272_2ypb_B_1.pdb	199-272	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	318	22	16	314	52.27	22	41.51	45.45	99-120	UNCERTAIN_MANUAL_REVIEW	UNCERTAIN_MANUAL_REVIEW	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	YES	Canonical alignment evidence is UNCERTAIN_MANUAL_REVIEW.	LOW
A2AB93	ZBTB22	FAILED_ACCESSION_ANNOTATION	Zinc finger and BTB domain containing 22	UNREVIEWED	149	ae666e0bfdcd71665de04e2ecc876125107d46bd68f3177cfaf2c5b0758f30d3	Identical_PWM	M04651_2.00	HOK_GEF,BTB	PF00651:47-148:BTB/POZ domain			PF00651:47-148:BTB/POZ domain	NO		NOT_APPLICABLE	0	0				O15209	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	REVIEWED	634	PF00096:513-535:Zinc finger, C2H2 type	/data/sbi/interchange/boliva/patricia/models/TFS_O15209:490:559_1a1f_A_1.pdb	490-559	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	238	10	8	634	100.00	1	4.35	100.00	143-143	HIGH_CONFIDENCE_DBD_ABSENT	ACCESSION_LACKS_DBD	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	NO		HIGH
