pfam_id	pfam_name	failed_accession_count	failed_accessions	fragment_count	contacting_fragment_count	legacy_family_tokens	same_gene_candidate_context	domain_role_review	is_TF_DBD_review	review_evidence	reviewer	review_date	review_status
PF08347	N-terminal CTNNB1 binding	6	D6RAB1;D6RID7;D6RIV1;E5RG75;E5RJ51;Q5VVR5	6	0	CTNNB1_binding;DUF605	"[{""failed_accession"":""D6RAB1"",""longer_same_gene_candidate_accessions"":[""Q9UJU2""],""reviewed_same_gene_candidate_accessions"":[""Q9UJU2""],""same_gene_candidate_accessions"":[""D6RID7"",""D6RIV1"",""Q9UJU2""]},{""failed_accession"":""D6RID7"",""longer_same_gene_candidate_accessions"":[""D6RAB1"",""D6RIV1"",""Q9UJU2""],""reviewed_same_gene_candidate_accessions"":[""Q9UJU2""],""same_gene_candidate_accessions"":[""D6RAB1"",""D6RIV1"",""Q9UJU2""]},{""failed_accession"":""D6RIV1"",""longer_same_gene_candidate_accessions"":[""D6RAB1"",""Q9UJU2""],""reviewed_same_gene_candidate_accessions"":[""Q9UJU2""],""same_gene_candidate_accessions"":[""D6RAB1"",""D6RID7"",""Q9UJU2""]},{""failed_accession"":""E5RG75"",""longer_same_gene_candidate_accessions"":[""B7WNT5"",""E5RG34"",""E5RGQ1"",""H0YBC8"",""P36402""],""reviewed_same_gene_candidate_accessions"":[""P36402""],""same_gene_candidate_accessions"":[""B7WNT5"",""E5RG34"",""E5RGQ1"",""E5RHL1"",""E5RJ51"",""H0YAR8"",""H0YBC8"",""H0YBP2"",""P36402""]},{""failed_accession"":""E5RJ51"",""longer_same_gene_candidate_accessions"":[""B7WNT5"",""E5RG34"",""E5RG75"",""E5RGQ1"",""E5RHL1"",""H0YAR8"",""H0YBC8"",""P36402""],""reviewed_same_gene_candidate_accessions"":[""P36402""],""same_gene_candidate_accessions"":[""B7WNT5"",""E5RG34"",""E5RG75"",""E5RGQ1"",""E5RHL1"",""H0YAR8"",""H0YBC8"",""H0YBP2"",""P36402""]},{""failed_accession"":""Q5VVR5"",""longer_same_gene_candidate_accessions"":[""A0A0A0MTL7"",""A0A0D9SGH8"",""A0A1B0GVE1"",""A0A2Z5HTM8"",""A0A2Z5HTN9"",""A0A994J4F0"",""A0A994J711"",""B5BU30"",""C6ZRK5"",""E2GH13"",""E2GH15"",""E2GH16"",""E2GH18"",""E2GH23"",""E2GH26"",""Q5JRY4"",""Q5VVR7"",""Q5VVR8"",""Q6FHW4"",""Q9NQB0""],""reviewed_same_gene_candidate_accessions"":[""Q9NQB0""],""same_gene_candidate_accessions"":[""A0A0A0MTL7"",""A0A0D9SGH8"",""A0A1B0GU84"",""A0A1B0GVE1"",""A0A2Z5HTM8"",""A0A2Z5HTN9"",""A0A994J4F0"",""A0A994J711"",""B5BU30"",""C6ZRK5"",""E2GH13"",""E2GH15"",""E2GH16"",""E2GH18"",""E2GH23"",""E2GH26"",""H0YEE5"",""Q5JRY3"",""Q5JRY4"",""Q5VVR7"",""Q5VVR8"",""Q6FHW4"",""Q9NQB0""]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF08447	PAS fold	1	B4E2U7	1	0	Dicty_REP;HIF-1;HIF-1a_CTAD;PAS;PAS_3;PAS_9	"[{""failed_accession"":""B4E2U7"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF08778	HIF-1 alpha C terminal transactivation domain	1	B4E2U7	1	0	Dicty_REP;HIF-1;HIF-1a_CTAD;PAS;PAS_3;PAS_9	"[{""failed_accession"":""B4E2U7"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF10401	Interferon-regulatory factor 3	1	B4E1B1	1	1	IRF-3	"[{""failed_accession"":""B4E1B1"",""longer_same_gene_candidate_accessions"":[""E9PSE3"",""M9RSF4"",""Q92985""],""reviewed_same_gene_candidate_accessions"":[""Q92985""],""same_gene_candidate_accessions"":[""E9PSE3"",""M9RSF4"",""Q92985""]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF11413	Hypoxia-inducible factor-1	1	B4E2U7	1	0	Dicty_REP;HIF-1;HIF-1a_CTAD;PAS;PAS_3;PAS_9	"[{""failed_accession"":""B4E2U7"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF11914	Domain of unknown function (DUF3432)	1	B4DNX4	1	0	DUF3432	"[{""failed_accession"":""B4DNX4"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF11928	Early growth response N-terminal domain	4	A0A0S2Z3Q5;A0A1B0GUL0;B4DL38;B4DVG0	4	0	DUF3446	"[{""failed_accession"":""A0A0S2Z3Q5"",""longer_same_gene_candidate_accessions"":[""A0A8I5KYI5"",""P11161""],""reviewed_same_gene_candidate_accessions"":[""P11161""],""same_gene_candidate_accessions"":[""A0A0S2Z3U4"",""A0A1B0GUL0"",""A0A8I5KYI5"",""P11161""]},{""failed_accession"":""A0A1B0GUL0"",""longer_same_gene_candidate_accessions"":[""A0A0S2Z3Q5"",""A0A0S2Z3U4"",""A0A8I5KYI5"",""P11161""],""reviewed_same_gene_candidate_accessions"":[""P11161""],""same_gene_candidate_accessions"":[""A0A0S2Z3Q5"",""A0A0S2Z3U4"",""A0A8I5KYI5"",""P11161""]},{""failed_accession"":""B4DL38"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]},{""failed_accession"":""B4DVG0"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF12577	PPAR gamma N-terminal region	4	A0A804HIG1;A0A804HLH1;E7EU07;Q6L9M1	4	0	PPARgamma_N	"[{""failed_accession"":""A0A804HIG1"",""longer_same_gene_candidate_accessions"":[""A0A494C012"",""A0A494C0D9"",""A0A494C0T3"",""A0A499FIV4"",""A0A804HJN2"",""A0A804HL89"",""D2KUA6"",""E7EU07"",""E7EUD1"",""E9PFV2"",""E9PFX5"",""P37231"",""Q4W4C6"",""Q4W4C7"",""Q53EW1"",""Q86WD1""],""reviewed_same_gene_candidate_accessions"":[""P37231""],""same_gene_candidate_accessions"":[""A0A494C012"",""A0A494C0D9"",""A0A494C0T3"",""A0A499FIV4"",""A0A804HJN2"",""A0A804HL89"",""A0A804HLH1"",""D2KUA6"",""E7EU07"",""E7EUD1"",""E9PFV2"",""E9PFX5"",""P37231"",""Q4W4C6"",""Q4W4C7"",""Q53EW1"",""Q6L9M1"",""Q86WD1""]},{""failed_accession"":""A0A804HLH1"",""longer_same_gene_candidate_accessions"":[""A0A494C012"",""A0A494C0D9"",""A0A494C0T3"",""A0A499FIV4"",""A0A804HIG1"",""A0A804HJN2"",""A0A804HL89"",""D2KUA6"",""E7EU07"",""E7EUD1"",""E9PFV2"",""E9PFX5"",""P37231"",""Q4W4C6"",""Q4W4C7"",""Q53EW1"",""Q86WD1""],""reviewed_same_gene_candidate_accessions"":[""P37231""],""same_gene_candidate_accessions"":[""A0A494C012"",""A0A494C0D9"",""A0A494C0T3"",""A0A499FIV4"",""A0A804HIG1"",""A0A804HJN2"",""A0A804HL89"",""D2KUA6"",""E7EU07"",""E7EUD1"",""E9PFV2"",""E9PFX5"",""P37231"",""Q4W4C6"",""Q4W4C7"",""Q53EW1"",""Q6L9M1"",""Q86WD1""]},{""failed_accession"":""E7EU07"",""longer_same_gene_candidate_accessions"":[""A0A494C012"",""A0A494C0D9"",""A0A494C0T3"",""A0A499FIV4"",""A0A804HJN2"",""A0A804HL89"",""D2KUA6"",""E7EUD1"",""E9PFV2"",""E9PFX5"",""P37231"",""Q4W4C6"",""Q4W4C7"",""Q53EW1"",""Q86WD1""],""reviewed_same_gene_candidate_accessions"":[""P37231""],""same_gene_candidate_accessions"":[""A0A494C012"",""A0A494C0D9"",""A0A494C0T3"",""A0A499FIV4"",""A0A804HIG1"",""A0A804HJN2"",""A0A804HL89"",""A0A804HLH1"",""D2KUA6"",""E7EUD1"",""E9PFV2"",""E9PFX5"",""P37231"",""Q4W4C6"",""Q4W4C7"",""Q53EW1"",""Q6L9M1"",""Q86WD1""]},{""failed_accession"":""Q6L9M1"",""longer_same_gene_candidate_accessions"":[""A0A494C012"",""A0A494C0D9"",""A0A494C0T3"",""A0A499FIV4"",""A0A804HIG1"",""A0A804HJN2"",""A0A804HL89"",""A0A804HLH1"",""D2KUA6"",""E7EU07"",""E7EUD1"",""E9PFV2"",""E9PFX5"",""P37231"",""Q4W4C6"",""Q4W4C7"",""Q53EW1"",""Q86WD1""],""reviewed_same_gene_candidate_accessions"":[""P37231""],""same_gene_candidate_accessions"":[""A0A494C012"",""A0A494C0D9"",""A0A494C0T3"",""A0A499FIV4"",""A0A804HIG1"",""A0A804HJN2"",""A0A804HL89"",""A0A804HLH1"",""D2KUA6"",""E7EU07"",""E7EUD1"",""E9PFV2"",""E9PFX5"",""P37231"",""Q4W4C6"",""Q4W4C7"",""Q53EW1"",""Q86WD1""]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF12796	Ankyrin repeats (3 copies)	1	O14593	1	0	Ank;Ank_2;Ank_3;Ank_4;Ank_5	"[{""failed_accession"":""O14593"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF14598	PAS domain	1	X5D8U0	1	0	PAS;PAS_3;PAS_6;PAS_9	"[{""failed_accession"":""X5D8U0"",""longer_same_gene_candidate_accessions"":[""Q9HBZ2"",""X5D7T2"",""X5DP31"",""X5DP40"",""X5DQN9""],""reviewed_same_gene_candidate_accessions"":[""Q9HBZ2""],""same_gene_candidate_accessions"":[""Q86TN1"",""Q9HBZ2"",""X5D7T2"",""X5D9H9"",""X5DP31"",""X5DP40"",""X5DQN9"",""X5DRE4""]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF15951	MITF/TFEB/TFEC/TFE3 N-terminus	3	B1AKB1;C9J845;Q709A9	3	1	Activator_LAG-3;DUF2547;DUF605;MAS20;Ribophorin_I;Suf	"[{""failed_accession"":""B1AKB1"",""longer_same_gene_candidate_accessions"":[""A0A1B0GXL9"",""A0A7I2YQR9"",""B0QYS6"",""B0QYS7"",""B1AKB2"",""B1AKB4"",""B1AKB5"",""P19484""],""reviewed_same_gene_candidate_accessions"":[""P19484""],""same_gene_candidate_accessions"":[""A0A1B0GXL9"",""A0A7I2YQR9"",""B0QYS6"",""B0QYS7"",""B1AKB2"",""B1AKB4"",""B1AKB5"",""P19484"",""Q709A9""]},{""failed_accession"":""C9J845"",""longer_same_gene_candidate_accessions"":[""A0A8I5KRZ6"",""A0A8I5KSZ4"",""A0A8I5KTU3"",""C9JBI8"",""O75030""],""reviewed_same_gene_candidate_accessions"":[""O75030""],""same_gene_candidate_accessions"":[""A0A087WXU1"",""A0A8I5KRZ6"",""A0A8I5KSZ4"",""A0A8I5KTU3"",""C9JBI8"",""E9PKJ8"",""O75030""]},{""failed_accession"":""Q709A9"",""longer_same_gene_candidate_accessions"":[""A0A1B0GXL9"",""A0A7I2YQR9"",""B0QYS6"",""B0QYS7"",""B1AKB1"",""B1AKB2"",""B1AKB4"",""B1AKB5"",""P19484""],""reviewed_same_gene_candidate_accessions"":[""P19484""],""same_gene_candidate_accessions"":[""A0A1B0GXL9"",""A0A7I2YQR9"",""B0QYS6"",""B0QYS7"",""B1AKB1"",""B1AKB2"",""B1AKB4"",""B1AKB5"",""P19484""]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF17725	YAP binding domain	2	E9PKB7;Q59EF3	2	2	TEA	"[{""failed_accession"":""E9PKB7"",""longer_same_gene_candidate_accessions"":[""H0YE88"",""H0YEJ9"",""P28347""],""reviewed_same_gene_candidate_accessions"":[""P28347""],""same_gene_candidate_accessions"":[""H0YE88"",""H0YEJ9"",""P28347""]},{""failed_accession"":""Q59EF3"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF18326	RFX5 N-terminal domain	1	F6X9D6	1	0	Pox_D5;RFX_DNA_binding	"[{""failed_accession"":""F6X9D6"",""longer_same_gene_candidate_accessions"":[""A0A0A0MSQ2"",""F6R6G4"",""F6UE82"",""F8W689"",""H0Y4B4"",""P48382""],""reviewed_same_gene_candidate_accessions"":[""P48382""],""same_gene_candidate_accessions"":[""A0A0A0MSM9"",""A0A0A0MSQ2"",""F6R6G4"",""F6UE82"",""F8W689"",""H0Y4B4"",""P48382""]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF19525	Ets1 N-terminal flanking region of Ets domain	1	B4DW78	1	0	GluR_Homer-bdg;SAM_PNT	"[{""failed_accession"":""B4DW78"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF19536	POU domain, class 2, transcription factor 1 C-terminal	1	H0YNG1	1	0		"[{""failed_accession"":""H0YNG1"",""longer_same_gene_candidate_accessions"":[""A0A8I5KYI8"",""B5ME60"",""H0YKT2"",""H0YLL6"",""H0YNW1"",""P09086"",""U3KQ96"",""U3KQN1""],""reviewed_same_gene_candidate_accessions"":[""P09086""],""same_gene_candidate_accessions"":[""A0A8I5KYI8"",""B5ME60"",""H0YKT2"",""H0YLL6"",""H0YNW1"",""M0R1I6"",""P09086"",""U3KQ96"",""U3KQN1""]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
PF25340	RFX BCD domain	1	B7Z8F5	1	0	RFX1_trans_act	"[{""failed_accession"":""B7Z8F5"",""longer_same_gene_candidate_accessions"":[],""reviewed_same_gene_candidate_accessions"":[],""same_gene_candidate_accessions"":[]}]"	UNREVIEWED	UNREVIEWED				UNREVIEWED
