failed_accession	failed_sequence_length	canonical_reference_accession	canonical_reference_sequence_length	reference_selection_reason	canonical_DBD_start	canonical_DBD_end	canonical_DBD_interval_source	canonical_DBD_context	full_alignment_columns	full_aligned_residue_pairs	full_alignment_matches	full_identity_percent	DBD_length	DBD_aligned_residues	DBD_matches	DBD_coverage_percent	DBD_identity_percent	failed_coordinates_corresponding_to_DBD	aligned_non_DBD_residues	aligned_non_DBD_matches	aligned_non_DBD_identity_percent	alignment_evidence_class	model_path	model_interval	model_path_sha256	pdb_selected_protein_chain	pdb_chain_sequence_length	pdb_chain_sequence_sha256	pdb_to_reference_aligned_residues	pdb_to_reference_identity_percent	pdb_chain_coverage_percent	failed_to_pdb_aligned_residues	failed_to_pdb_identity_percent	failed_sequence_coverage_by_pdb_percent	pdb_reference_reconciliation_status	pdb_reconciliation_note	canonical_reference_is_separate_accession
A0A7P0T992	286	A0A7P0TAH1	700	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	307	366	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00170:307-366:bZIP transcription factor	700	286	274	95.80	60	6	5	10.00	83.33	231-236	280	269	96.07	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_A0A7P0TAH1:289:362_1nkp_A_1.pdb	289-362	8685763438c5b8d85168852531de58e937aa339538e4902e7d833b7dbd892f26	A	74	f9c881c503a6a1e94b2372d7c0145757b5d8f1db7c0580f5f1da2a8f9dad2538	74	100.00	100.00	9	66.67	3.15	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A7P0TAB8	89	A0A7P0TAH1	700	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	307	366	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00170:307-366:bZIP transcription factor	700	89	89	100.00	60	1	1	1.67	100.00	75-75	88	88	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_A0A7P0TAH1:289:362_1nkp_A_1.pdb	289-362	8685763438c5b8d85168852531de58e937aa339538e4902e7d833b7dbd892f26	A	74	f9c881c503a6a1e94b2372d7c0145757b5d8f1db7c0580f5f1da2a8f9dad2538	74	100.00	100.00	5	80.00	5.62	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A804HIG1	92	Q4W4C7	280	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	124	190	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00105:124-190:Double treble clef zinc finger, C4 type	280	92	92	100.00	67	4	4	5.97	100.00	87-90	88	88	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q4W4C7:121:201_1a6y_B_1.pdb	121-201	cfcad351e1dc61776aad8542fa412d5eab171c06e5fe87443c090a7839270631	B	74	0c4f8395392f61de6f905227fb94495f6df867bcbed863d50f38d6cb7b0768cc	74	100.00	100.00	3	100.00	3.26	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A804HLH1	77	Q4W4C7	280	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	124	190	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00105:124-190:Double treble clef zinc finger, C4 type	280	77	76	98.70	67	7	7	10.45	100.00	62-68	70	69	98.57	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_Q4W4C7:121:201_1a6y_B_1.pdb	121-201	cfcad351e1dc61776aad8542fa412d5eab171c06e5fe87443c090a7839270631	B	74	0c4f8395392f61de6f905227fb94495f6df867bcbed863d50f38d6cb7b0768cc	74	100.00	100.00	4	75.00	5.19	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A8Q3WLX6	227	Q99592	522	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	411	489	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF13894:411-432:C2H2-type zinc finger;PF00096:438-460:Zinc finger, C2H2 type;PF00096:466-489:Zinc finger, C2H2 type	522	227	227	100.00	79	6	6	7.59	100.00	221-226	221	221	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q99592:409:485_1ubd_C_1.pdb	409-485	3000af89e438c0f732edae90680e7ef6bfb066cf89c8be60b348c1777c28a0e7	A	77	65ad7d8fd7662ccc4aa9adccf1ea919c33ca1f52b5154f3abb9ea1f89cac35f8	77	100.00	100.00	3	100.00	1.32	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A8V8TLI6	212	A0A669KB52	636	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	322	458	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF02864:322-458:STAT protein, DNA binding domain	636	212	212	100.00	137	7	7	5.11	100.00	196-202	205	205	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_A0A669KB52:136:624_1bf5_A_1.pdb	136-624	f3533d569be0e66e15c522f7d38e017dc3e83aa7691b7a96503665e942cfa0bf	A	489	be11faa5697aab933262cb2a4ce317f66812075a12c033aadba92eb51369e114	489	100.00	100.00	77	100.00	36.32	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A8V8TM03	139	Q99592	522	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	411	489	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF13894:411-432:C2H2-type zinc finger;PF00096:438-460:Zinc finger, C2H2 type;PF00096:466-489:Zinc finger, C2H2 type	522	139	139	100.00	79	2	2	2.53	100.00	135-136	137	137	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q99592:409:485_1ubd_C_1.pdb	409-485	3000af89e438c0f732edae90680e7ef6bfb066cf89c8be60b348c1777c28a0e7	A	77	65ad7d8fd7662ccc4aa9adccf1ea919c33ca1f52b5154f3abb9ea1f89cac35f8	77	100.00	100.00	3	100.00	2.16	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A994J4I4	229	P35711	763	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	556	624	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00505:556-624:HMG (high mobility group) box	763	229	229	100.00	69	3	3	4.35	100.00	224-226	226	226	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P35711:553:634_1j46_A_1.pdb	553-634	e650412cce38e0f818785072e64d8f7d3421b84f7859f8ae76503212cfb0e833	A	82	9c18c1e6cd8346066459d9e5742227dab0dc349837fd9b47aac6104289915178	82	100.00	100.00	4	100.00	1.75	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A0A994J7B2	132	K7ENH8	314	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	210	262	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00010:210-262:Helix-loop-helix DNA-binding domain	314	132	69	52.27	53	22	10	41.51	45.45	99-120	110	59	53.64	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_K7ENH8:199:272_2ypb_B_1.pdb	199-272	4b47e237d59ac0d3c8cbbe0c6bb296e5dc2867304079beb9fd1a257975b373d9	B	74	0c89b758071119f5b9019b6108b150552afeb4d5abbbe8edf40c5a7dd0f2bb03	74	100.00	100.00	4	100.00	3.03	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A2AB93	149	O15209	634	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	513	535	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00096:513-535:Zinc finger, C2H2 type	634	149	149	100.00	23	1	1	4.35	100.00	143-143	148	148	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_O15209:490:559_1a1f_A_1.pdb	490-559	927ee351fc41cf1d3eae5c78422efc078c4c781e4817db380bd317c0d9b9e128	A	70	f0a4cad56d6f99d7fc4f37a74fc1660cbca99892888c0b5477f52995edc26040	70	100.00	100.00	5	60.00	3.36	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A2RRN1	174	Q70SY1	520	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	292	354	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00170:292-354:bZIP transcription factor	520	174	173	99.43	63	2	2	3.17	100.00	166-167	172	171	99.42	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q70SY1:295:354_1t2k_C_1.pdb	295-354	223464dee64cfdad948ff5f6442d8d8b8f2ac7bd543b82a2a2aed99fc32891eb	A	60	0c54aaa3980b1771271d6e29d977ee78cc9564ad46249a6b3c2dda3e55ae1eec	60	100.00	100.00	4	100.00	2.30	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
A8MTU8	766	P36956	1147	BLANK_GENE_MAPPING_TO_EXPLICIT_INTERFACE_AUDITED_REFERENCE:clear_from_description	324	374	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00010:324-374:Helix-loop-helix DNA-binding domain	1147	766	744	97.13	51	11	8	21.57	72.73	68-78	755	736	97.48	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_P36956:316:404_5i50_B_1.pdb	316-404	71565db3d8b7f680cb91b2d472052429bff215f6ee2f244251ac4ea504024dad	A	89	78387c18a89e184ef65531e30946731369d51042ce21eb0dc52c752c6a9fc682	89	100.00	100.00	5	100.00	0.65	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
B1AKB1	222	A0A7I2YQR9	273	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	236	265	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00010:236-265:Helix-loop-helix DNA-binding domain	273	222	222	100.00	30	3	3	10.00	100.00	219-221	219	219	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_A0A7I2YQR9:232:263_5nj8_B_1.pdb	232-263	68117e4ce12dea1e3a09c022a4d3d94ff56414a72a1670a5b788fe42aae2a312	A	32	9c5b18065b5adc0b15cc1ea9eaff03bc6e4b235b822260592777438e7d171ced	32	100.00	100.00	2	100.00	0.90	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
B3KU95	248	O43364	376	BLANK_GENE_MAPPING_TO_REVIEWED_CANONICAL_ACCESSION:clear_from_description	144	200	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00046:144-200:Homeodomain	377	247	182	73.68	57	24	8	42.11	33.33	134-157	223	174	78.03	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_O43364:144:205_1ahd_P_1.pdb	144-205	98ad1ce42732c25b3ec2e401646e9f395425a89d227d720872ff7157a8972864	A	62	0d13f529937bf8ac57b9b903dcd53bc6d8847363b5bd467752c44e405de1f0ac	62	100.00	100.00	3	100.00	1.21	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
B4DHE0	203	P52630	851	BLANK_GENE_MAPPING_TO_EXPLICIT_INTERFACE_AUDITED_REFERENCE:clear_from_description	321	456	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF02864:321-456:STAT protein, DNA binding domain	851	203	203	100.00	136	6	6	4.41	100.00	186-191	197	197	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P52630:141:678_1bf5_A_1.pdb	141-678	d3e458d2d038b1e6b31f156c8d57ea224f6852a6b2404c98155be261ef2be051	A	538	eb6fb4a58821cecad0e7f8404621b838fc812052d0bc67025885b2a5db7acf36	538	100.00	100.00	43	100.00	21.18	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
B4DL38	261	A0A8I5KYI5	489	BLANK_GENE_MAPPING_TO_EXPLICIT_INTERFACE_AUDITED_REFERENCE:clear_from_description	353	433	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00096:353-377:Zinc finger, C2H2 type;PF00096:383-405:Zinc finger, C2H2 type;PF00096:411-433:Zinc finger, C2H2 type	489	261	250	95.79	81	10	10	12.35	100.00	248-257	251	240	95.62	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_A0A8I5KYI5:350:435_4r2a_A_1.pdb	350-435	03ed0cd6d64c6542752fc5deac3e71c3cbabf027aa6f4c2419baf31d6474d34a	A	86	5f6237fb5116358b5cba386d6536b5eb07da43505a863409605761337b698953	86	100.00	100.00	4	100.00	1.53	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
B4DNX4	200	P18146	543	BLANK_GENE_MAPPING_TO_REVIEWED_CANONICAL_ACCESSION:clear_from_description	338	418	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00096:338-362:Zinc finger, C2H2 type;PF00096:368-390:Zinc finger, C2H2 type;PF00096:396-418:Zinc finger, C2H2 type	543	200	200	100.00	81	3	3	3.70	100.00	142-144	197	197	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P18146:335:421_4r2d_A_1.pdb	335-421	1534b82c5ba75f7cdd902ab026efece83746e2e6bc07b857dac7c1a74f0fe50e	A	87	be87efbf036683356a47a621091f57001643873b256cc0556b6d84b569b7ef0e	87	100.00	100.00	5	80.00	2.50	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
B4DVG0	232	P18146	543	BLANK_GENE_MAPPING_TO_REVIEWED_CANONICAL_ACCESSION:clear_from_description	338	418	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00096:338-362:Zinc finger, C2H2 type;PF00096:368-390:Zinc finger, C2H2 type;PF00096:396-418:Zinc finger, C2H2 type	543	232	231	99.57	81	7	7	8.64	100.00	223-229	225	224	99.56	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P18146:335:421_4r2d_A_1.pdb	335-421	1534b82c5ba75f7cdd902ab026efece83746e2e6bc07b857dac7c1a74f0fe50e	A	87	be87efbf036683356a47a621091f57001643873b256cc0556b6d84b569b7ef0e	87	100.00	100.00	5	80.00	2.16	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
B4DW78	300	P14921	441	BLANK_GENE_MAPPING_TO_REVIEWED_CANONICAL_ACCESSION:clear_from_description	335	415	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00178:335-415:Ets-domain	441	300	300	100.00	81	3	3	3.70	100.00	295-297	297	297	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P14921:302:439_3mfk_A_1.pdb	302-439	5ece12d3a953a15409814594d41c1fb8a4b39386b5e7bb89e7cd1c8bea69a316	B	138	2f19a0c82079e4093eba50feea0b0ca72dfdb45918b9ba71037dc2f37feee815	138	100.00	100.00	4	100.00	1.33	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
B4E1B1	210	Q92985	503	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	14	124	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00605:14-124:Interferon regulatory factor transcription factor	503	210	210	100.00	111	0	0	0.00	0.00		210	210	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q92985:17:122_1t2k_A_1.pdb	17-122	b84a32613ce402c6abcd7eaee8f8b3153cd07f7cd55d7fbefafb52498f12d465	A	106	8385abe676b7ebc13ab3704f2cd1d16b29e15f050e0495c225ae06b82c59a079	106	100.00	100.00	4	100.00	1.90	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
B4E2G3	202	Q8TEY5	395	BLANK_GENE_MAPPING_TO_EXPLICIT_INTERFACE_AUDITED_REFERENCE:clear_from_description	215	273	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00170:215-273:bZIP transcription factor	395	202	177	87.62	59	8	6	13.56	75.00	150-157	194	171	88.14	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_Q8TEY5:218:259_1t2k_C_1.pdb	218-259	ab1e82058fc715772271bca9bf704fb5d3ea6744d0b00667d0c5483f40bcae72	A	42	fa026ff7320157a9cc308ed887b79362d1fae2e8e4e64cd5f453da47af365b89	42	100.00	100.00	5	80.00	2.48	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
B4E2U7	577	Q16665	826	BLANK_GENE_MAPPING_TO_REVIEWED_CANONICAL_ACCESSION:clear_from_description	1	80	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF23171:1-80:Hypoxia-inducible factor 1-alpha bHLH domain	826	577	577	100.00	80	0	0	0.00	0.00		577	577	100.00	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_Q16665:11:358_4zpk_B_1.pdb	11-358	0fcaff3100d6279f69833fb0102c4b0f76674ac0302a4cfae9c7dd4034e9a7f1	A	348	4a3ea114db5b0f91d473eb6031f1d41803953aa1a024bf1b98ff8dbe7950d874	348	100.00	100.00	109	100.00	18.89	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
B4E374	170	P03372	595	BLANK_GENE_MAPPING_TO_REVIEWED_CANONICAL_ACCESSION:clear_from_description	184	252	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00105:184-252:Double treble clef zinc finger, C4 type	595	170	168	98.82	69	0	0	0.00	0.00		170	168	98.82	HIGH_CONFIDENCE_DBD_ABSENT	/data/sbi/interchange/boliva/patricia/models/TFS_P03372:183:263_1lo1_A_1.pdb	183-263	23ed8ec461dc45e432e48ab2afa64759888d90a7b15d1fe7017daff7b36ae0f2	A	80	6db1062283553f888d9a7b606459c4c860b3322abe092fcff93ca37dc98faa39	80	100.00	100.00	6	71.43	3.53	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
B5MCD3	246	P35452	270	SAME_GENE_MODCRE_SUMMARY_V2_EXPLICIT_ACCESSION	203	259	CANONICAL_DBD_PFAM_WITHIN_MODEL_INTERVAL	PF00046:203-259:Homeodomain	273	243	212	87.24	57	38	15	66.67	39.47	203-243	205	197	96.10	UNCERTAIN_MANUAL_REVIEW	/data/sbi/interchange/boliva/patricia/models/TFS_P35452:203:259_5zjr_A_1.pdb	203-259	773e2d612a04f18c8c0e63ecd354c49d0e5ba01394d0b9cb69caaf80fa8615c6	A	57	314704959a086087a2940c28d7df24607ab3e02909df387c51e9c51a2da9bfbc	57	100.00	100.00	8	62.50	3.25	RECONCILED	PDB protein chain reconciles to the stated reference accession interval.	YES
