failed_accession	gene	protein_description	failed_sequence_length	failed_sequence_sha256	DBD_disposition	expected_DBD_type	expected_DBD_canonical_start	expected_DBD_canonical_end	DBD_aligned_residues	DBD_coverage_percent	DBD_identity_percent	failed_coordinates_corresponding_to_DBD	reviewed_canonical_accession	model_bearing_accession	actual_accession_represented_by_PDB	canonical_reference_model	canonical_reference_interface_status	valid_existing_fragment_model	original_fragment_status	primary_structural_status	action_for_baldo	send_coordinates	database_display_recommendation	decision_reason	remaining_uncertainty	fusion_parent_analysis	local_sequence_search_results	draft_status
A0A7P0T8Y1	ATF6	Activating transcription factor 6	150	b318de6e1190ba01ca669cc8ce085e975691636ab5afb8c14b8c2bc305cad553	NO_DBD				0	0.00	0.00		A0A7P0TAH1	A0A7P0TAH1	A0A7P0TAH1	/data/sbi/interchange/boliva/patricia/models/TFS_A0A7P0TAH1:289:362_1nkp_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession A0A7P0TAH1; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A7P0T992	ATF6	Activating transcription factor 6	286	026690aa0fc7bb1b4bf7b3bf4fdc2143de990a920c16bd76932dfddfc6b041d4	NO_DBD				0	0.00	0.00		A0A7P0TAH1	A0A7P0TAH1	A0A7P0TAH1	/data/sbi/interchange/boliva/patricia/models/TFS_A0A7P0TAH1:289:362_1nkp_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession A0A7P0TAH1; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A7P0TAB8	ATF6	Activating transcription factor 6	89	8aba7e54ff41fc9b954159b2a8eebee15ed8ef157ac7aa1631f0694f5143b4b7	NO_DBD				0	0.00	0.00		A0A7P0TAH1	A0A7P0TAH1	A0A7P0TAH1	/data/sbi/interchange/boliva/patricia/models/TFS_A0A7P0TAH1:289:362_1nkp_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession A0A7P0TAH1; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A804HIG1	PPARG	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	92	5cbe4d87643775a8a242e59f1003c712cb4af78aa2fdd69e4dc0e6836a133260	NO_DBD				0	0.00	0.00		Q4W4C7	Q4W4C7	Q4W4C7	/data/sbi/interchange/boliva/patricia/models/TFS_Q4W4C7:121:201_1a6y_B_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession Q4W4C7; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A804HLH1	PPARG	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	77	609d3929bfb8b0c8da42cd50ee08429d66a828f6056c3f1a0ce6735a6ffc7cdd	UNCERTAIN	PF00105:Double treble clef zinc finger, C4 type	138	204	7	10.45	100.00	59-65	P37231	Q4W4C7	Q4W4C7	/data/sbi/interchange/boliva/patricia/models/TFS_Q4W4C7:121:201_1a6y_B_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	UNCERTAIN_MANUAL_REVIEW	MANUAL_REVIEW_BEFORE_SENDING		Manual review unresolved.	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.			FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A8Q3WLX6	ZBTB18	Zinc finger and BTB domain containing 18	227	cbba98282aa0f4adb5f22035408e9e7e7296a64f88165bec2b1b7beee91c816d	NO_DBD				0	0.00	0.00		Q99592	Q99592	Q99592	/data/sbi/interchange/boliva/patricia/models/TFS_Q99592:409:485_1ubd_C_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession Q99592; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A8V8TLI6	STAT1	Signal transducer and activator of transcription 1	212	82d3ef206757a88bc3c4601ca71128abee3f5afd3a8a67bdb5c12f7b19401a5f	NO_DBD				0	0.00	0.00		A0A669KB52	A0A669KB52	A0A669KB52	/data/sbi/interchange/boliva/patricia/models/TFS_A0A669KB52:136:624_1bf5_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession A0A669KB52; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A8V8TM03	ZBTB18	Zinc finger and BTB domain containing 18	139	b7ddcd81c7ea38592d1757fc35ccb7277153e4cddc142c7a456bf5798e3e134b	NO_DBD				0	0.00	0.00		Q99592	Q99592	Q99592	/data/sbi/interchange/boliva/patricia/models/TFS_Q99592:409:485_1ubd_C_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession Q99592; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A994J4I4	SOX5	SRY-box transcription factor 5	229	59aa5b0e627adffa60395da26012d88e6d5d55f4ff07f3f19539e44745791c54	NO_DBD				0	0.00	0.00		P35711	P35711	P35711	/data/sbi/interchange/boliva/patricia/models/TFS_P35711:553:634_1j46_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession P35711; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A0A994J7B2	TCF3	Transcription factor 3	132	3145943cc4178a2ca097665603a5c7e1bb3aaeb4006b4d23fcf13afc715c84b3	NO_DBD	PF00010:Helix-loop-helix DNA-binding domain	550	603	3	5.56	100.00	126-128	P15923	K7ENH8	K7ENH8	/data/sbi/interchange/boliva/patricia/models/TFS_K7ENH8:199:272_2ypb_B_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession P15923; label explicitly as a reference.	DBD coverage is at most 10%; at least 40 non-DBD residues align at at least 80% identity.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A2AB93	ZBTB22	Zinc finger and BTB domain containing 22	149	ae666e0bfdcd71665de04e2ecc876125107d46bd68f3177cfaf2c5b0758f30d3	NO_DBD				0	0.00	0.00		O15209	O15209	O15209	/data/sbi/interchange/boliva/patricia/models/TFS_O15209:490:559_1a1f_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession O15209; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A2RRN1	CREB3L2	CREB3L2 protein	174	300d2a8d25debd9f2e4534b57f422af28a7a05dc4658ae500828440e254e1f9e	NO_DBD				0	0.00	0.00		Q70SY1	Q70SY1	Q70SY1	/data/sbi/interchange/boliva/patricia/models/TFS_Q70SY1:295:354_1t2k_C_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession Q70SY1; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A8K549	HOXA2	cDNA FLJ78348	248	27922460081c90fad660649fe6fce7a62ec219b725ecb6b6c30386b49d6045c3	UNCERTAIN	PF00046:Homeodomain	144	200	30	52.63	30.00	134-163	O43364				NOT_VALIDATED	NO	NO_VALID_DBD_FRAGMENT	UNCERTAIN_MANUAL_REVIEW	MANUAL_REVIEW_BEFORE_SENDING		Manual review unresolved.	Local TF search resolves a likely gene, but DBD completeness remains below adjudication thresholds.	Gene suggestion passes search thresholds; DBD interpretation remains uncertain.		"[{""accession"":""B3KU95"",""aligned_residues"":248,""gene"":""HOXA2"",""identity_percent"":99.19,""query_coverage_percent"":100.0,""sequence_length"":248},{""accession"":""Q9C0A1"",""aligned_residues"":248,""gene"":""ZFHX2"",""identity_percent"":90.73,""query_coverage_percent"":100.0,""sequence_length"":2572},{""accession"":""A0A2P1H683"",""aligned_residues"":248,""gene"":""ZFHX2"",""identity_percent"":90.73,""query_coverage_percent"":100.0,""sequence_length"":2572},{""accession"":""P10070"",""aligned_residues"":248,""gene"":""GLI2"",""identity_percent"":79.03,""query_coverage_percent"":100.0,""sequence_length"":1586},{""accession"":""O43364"",""aligned_residues"":247,""gene"":""HOXA2"",""identity_percent"":74.09,""query_coverage_percent"":99.6,""sequence_length"":376}]"	FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
A8MTU8	SREBF1	cDNA FLJ38006 fis, clone CTONG2012422, highly similar to Sterol regulatory element-binding protein 1	766	1cdb74fb6b085002144e40283f14ec4b3a0bc4243cddd68f82342fcd7f728893	UNCERTAIN	PF00010:Helix-loop-helix DNA-binding domain	324	374	11	21.57	72.73	68-78	P36956	P36956	P36956	/data/sbi/interchange/boliva/patricia/models/TFS_P36956:316:404_5i50_B_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	UNCERTAIN_MANUAL_REVIEW	MANUAL_REVIEW_BEFORE_SENDING		Manual review unresolved.	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.			FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B1AKB1	TFEB	Transcription factor EB	222	d44a7927923839cecede87b608b453d5ff2a035ebb6d74f150c0c00c7d5d01ad	NO_DBD				0	0.00	0.00		A0A7I2YQR9	A0A7I2YQR9	A0A7I2YQR9	/data/sbi/interchange/boliva/patricia/models/TFS_A0A7I2YQR9:232:263_5nj8_B_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession A0A7I2YQR9; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B1NY96	TCF3-ZNF384 fusion	E2A-NMP4 fusion protein	197	2256e0b00cd44f1c53a055a81f45bdb46d18f5c6227889b3196541053d0883ce	UNCERTAIN				0	0.00	0.00						NOT_VALIDATED	NO	NO_VALID_DBD_FRAGMENT	UNCERTAIN_MANUAL_REVIEW	MANUAL_REVIEW_BEFORE_SENDING		Manual review unresolved.	Parent-by-parent alignments do not demonstrate a complete high-confidence DBD.	Fusion structure and breakpoint remain unresolved; no TF-parent DBD is assumed.	"[{""DBD_aligned_residues"":9,""DBD_coverage_percent"":16.67,""DBD_end"":603,""DBD_identity_percent"":77.78,""DBD_start"":550,""complete_DBD"":false,""expected_DBD_type"":""PF00010:Helix-loop-helix DNA-binding domain"",""failed_coordinates"":""171-179"",""matched_parent_span"":""226-652"",""parent_accession"":""P15923"",""parent_gene"":""TCF3/E2A"",""parent_sequence_length"":654,""partial_DBD"":false,""relationship"":""PARTIAL_OR_DIVERGENT_DBD_UNRESOLVED""},{""DBD_aligned_residues"":64,""DBD_coverage_percent"":32.0,""DBD_end"":455,""DBD_identity_percent"":57.81,""DBD_start"":256,""complete_DBD"":false,""expected_DBD_type"":""PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type"",""failed_coordinates"":""99-162"",""matched_parent_span"":""3-575"",""parent_accession"":""Q8TF68"",""parent_gene"":""ZNF384/NMP4"",""parent_sequence_length"":577,""partial_DBD"":false,""relationship"":""PARTIAL_OR_DIVERGENT_DBD_UNRESOLVED""}]"		FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B3KU95	HOXA2	cDNA FLJ39423 fis, clone PROST1000322, highly similar to HOMEOBOX PROTEIN HOX-A2	248	814ef3064e418d389e24c0fdee0c797c47cf845af5ed5e74c98d93e535b47b84	UNCERTAIN	PF00046:Homeodomain	144	200	24	42.11	33.33	134-157	O43364	O43364	O43364	/data/sbi/interchange/boliva/patricia/models/TFS_O43364:144:205_1ahd_P_1.pdb	NOT_VALIDATED	NO	NO_VALID_DBD_FRAGMENT	UNCERTAIN_MANUAL_REVIEW	MANUAL_REVIEW_BEFORE_SENDING		Manual review unresolved.	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.			FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B4DHE0	STAT2	cDNA FLJ56695, highly similar to Signal transducer and activator of transcription 2 (cDNA, FLJ79415, highly similar to Signal transducer and activator of transcription 2)	203	e9a803a26bd13b4e5e254d4c3350ad4cf2165add1abb8c1392dc6eb68072a09d	NO_DBD				0	0.00	0.00		P52630	P52630	P52630	/data/sbi/interchange/boliva/patricia/models/TFS_P52630:141:678_1bf5_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NON_DBD_CONTACTS_NOT_ACCEPTED	ACCESSION_LACKS_DBD	NO_SEND_CANONICAL_REFERENCE_ONLY		Canonical same-gene reference available from accession P52630; label explicitly as a reference.	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B4DL38	EGR2	cDNA FLJ54816, highly similar to Early growth response protein 2	261	2ed54beb6df2d08f2d30b893f8268420ddc4507bbbd2be9a0983a2d970836efe	INCOMPLETE_DBD	PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type	340	420	10	12.35	100.00	248-257	P11161	A0A8I5KYI5	A0A8I5KYI5	/data/sbi/interchange/boliva/patricia/models/TFS_A0A8I5KYI5:350:435_4r2a_A_1.pdb	PASS_NONEMPTY_PROTEIN_DNA_INTERFACE	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_CONTAINS_INCOMPLETE_DBD	NO_SEND_MARK_DNA_STRUCTURE_UNAVAILABLE		Accession contains only an incomplete DBD.	Only part of the expected canonical DBD is present; the accession cannot provide a complete modelable DBD.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
B4DNX4	EGR1	cDNA FLJ56577, highly similar to Early growth response protein 1	200	5054d41395a800d80959968539331f42a603e54221adccf56a88713f76f805e0	NO_DBD	PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type	338	418	3	3.70	100.00	142-144	P18146	P18146	P18146	/data/sbi/interchange/boliva/patricia/models/TFS_P18146:335:421_4r2d_A_1.pdb	NOT_VALIDATED	NO	NO_VALID_DBD_FRAGMENT	ACCESSION_LACKS_DBD	NO_SEND_MARK_DNA_STRUCTURE_UNAVAILABLE		Canonical same-gene reference available from accession P18146; label explicitly as a reference.	DBD coverage is at most 10%; at least 40 non-DBD residues align at at least 80% identity.				FINAL_ADJUDICATION_DRAFT_NOT_PUBLIC
