motif_id	cisbp_tf_id	tf_name	tf_external_id	tf_species	tf_status	motif_source_id	pmid	metadata_file	metadata_line	link_class	priority	n_hits_for_motif	url
M00117_2.00	T034291_2.00	ASCL1	ENSG00000139352	Homo_sapiens	I	Ascl2_2654	19443739	TF_Information_all_motifs_plus.txt	1018	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034291_2.00
M00118_2.00	T034292_2.00	TCF12	ENSG00000140262	Homo_sapiens	I	Tcfe2a_3865	19443739	TF_Information_all_motifs_plus.txt	1035	related_or_inferred_human	2	3	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034292_2.00
M00119_2.00	T034286_2.00	BHLHE40	ENSG00000134107	Homo_sapiens	I	Bhlhb2_1274	19443739	TF_Information_all_motifs_plus.txt	959	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034286_2.00
M00120_2.00	T034262_2.00	MYF5	ENSG00000111049	Homo_sapiens	I	Myf6_3824	19443739	TF_Information_all_motifs_plus.txt	674	related_or_inferred_human	2	3	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034262_2.00
M00121_2.00	T034282_2.00	MAX	ENSG00000125952	Homo_sapiens	I	Max_3863	19443739	TF_Information_all_motifs_plus.txt	889	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034282_2.00
M00122_2.00	T034282_2.00	MAX	ENSG00000125952	Homo_sapiens	I	Max_3864	19443739	TF_Information_all_motifs_plus.txt	890	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034282_2.00
M00123_2.00	T059761_2.00	MAF	ENSG00000178573	Homo_sapiens	I	Mafk_3106	19443739	TF_Information_all_motifs_plus.txt	2624	related_or_inferred_human	2	5	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059761_2.00
M00124_2.00	T059735_2.00	ATF1	ENSG00000123268	Homo_sapiens	I	Atf1_3026	19443739	TF_Information_all_motifs_plus.txt	1924	related_or_inferred_human	2	3	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059735_2.00
M00125_2.00	T059750_2.00	ATF3	ENSG00000162772	Homo_sapiens	I	Jundm2_0911	19443739	TF_Information_all_motifs_plus.txt	2316	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059750_2.00
M00126_2.00	T059761_2.00	MAF	ENSG00000178573	Homo_sapiens	I	Mafb_2914	19443739	TF_Information_all_motifs_plus.txt	2625	related_or_inferred_human	2	6	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059761_2.00
M00128_2.00	T095014_2.00	BCL6B	ENSG00000161940	Homo_sapiens	I	Bcl6b_0961	19443739	TF_Information_all_motifs_plus.txt	4893	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095014_2.00
M00129_2.00	T094898_2.00	GLIS2	ENSG00000126603	Homo_sapiens	I	Glis2_1757	19443739	TF_Information_all_motifs_plus.txt	4416	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094898_2.00
M00130_2.00	T094865_2.00	PLAGL1	ENSG00000118495	Homo_sapiens	I	Plagl1_0972	19443739	TF_Information.txt	1354	related_or_inferred_human	2	3	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094865_2.00
M00131_2.00	T095333_2.00	ZSCAN26	ENSG00000197062	Homo_sapiens	I	Zfp187_2626	19443739	TF_Information_all_motifs_plus.txt	5809	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095333_2.00
M00132_2.00	T094954_2.00	OSR1	ENSG00000143867	Homo_sapiens	I	Osr2_1727	19443739	TF_Information_all_motifs_plus.txt	4719	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094954_2.00
M00133_2.00	T095233_2.00	SP1	ENSG00000185591	Homo_sapiens	I	Sp4_1011	19443739	TF_Information_all_motifs_plus.txt	5592	related_or_inferred_human	2	6	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095233_2.00
M00134_2.00	T094840_2.00	KLF1	ENSG00000105610	Homo_sapiens	I	Klf7_0974	19443739	TF_Information_all_motifs_plus.txt	3831	related_or_inferred_human	2	8	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094840_2.00
M00135_2.00	T095006_2.00	ZBTB7B	ENSG00000160685	Homo_sapiens	I	Zbtb7b_1054	19443739	TF_Information_all_motifs_plus.txt	4865	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095006_2.00
M00136_2.00	T095271_2.00	MTF1	ENSG00000188786	Homo_sapiens	I	Mtf1_2377	19443739	TF_Information_all_motifs_plus.txt	5698	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095271_2.00
M00137_2.00	T094981_2.00	ZIC1	ENSG00000152977	Homo_sapiens	I	Zic1_0991	19443739	TF_Information_all_motifs_plus.txt	4763	related_or_inferred_human	2	5	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094981_2.00
M00139_2.00	T095017_2.00	ZNF281	ENSG00000162702	Homo_sapiens	I	Zfp281_0973	19443739	TF_Information_all_motifs_plus.txt	4926	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095017_2.00
M00140_2.00	T094870_2.00	ZNF410	ENSG00000119725	Homo_sapiens	I	Zfp410_3034	19443739	TF_Information_all_motifs_plus.txt	4237	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094870_2.00
M00141_2.00	T095078_2.00	HIC2	ENSG00000169635	Homo_sapiens	I	Hic1_2816	19443739	TF_Information_all_motifs_plus.txt	5126	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095078_2.00
M00142_2.00	T095023_2.00	ZNF691	ENSG00000164011	Homo_sapiens	I	Zfp691_0895	19443739	TF_Information.txt	1706	related_or_inferred_human	2	3	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095023_2.00
M00143_2.00	T094940_2.00	ZNF740	ENSG00000139651	Homo_sapiens	I	Zfp740_0925	19443739	TF_Information_all_motifs_plus.txt	4663	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094940_2.00
M00144_2.00	T094954_2.00	OSR1	ENSG00000143867	Homo_sapiens	I	Osr1_3033	19443739	TF_Information_all_motifs_plus.txt	4720	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094954_2.00
M00145_2.00	T095372_2.00	ZBTB14	ENSG00000198081	Homo_sapiens	I	Zfp161_2858	19443739	TF_Information_all_motifs_plus.txt	5867	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095372_2.00
M00146_2.00	T095409_2.00	ZBTB12	ENSG00000204366	Homo_sapiens	I	Zbtb12_2932	19443739	TF_Information_all_motifs_plus.txt	5951	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095409_2.00
M00148_2.00	T095085_2.00	ZNF35	ENSG00000169981	Homo_sapiens	I	Zfp105_2634	19443739	TF_Information_all_motifs_plus.txt	5148	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095085_2.00
M00150_2.00	T094981_2.00	ZIC1	ENSG00000152977	Homo_sapiens	I	Zic2_2895	19443739	TF_Information_all_motifs_plus.txt	4764	related_or_inferred_human	2	4	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094981_2.00
M00151_2.00	T094981_2.00	ZIC1	ENSG00000152977	Homo_sapiens	I	Zic3_3119	19443739	TF_Information_all_motifs_plus.txt	4765	related_or_inferred_human	2	5	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T094981_2.00
M00152_2.00	T095235_2.00	ZBTB3	ENSG00000185670	Homo_sapiens	I	Zbtb3_1048	19443739	TF_Information.txt	2141	related_or_inferred_human	2	3	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T095235_2.00
M00153_2.00	T172616_2.00	E2F1	ENSG00000101412	Homo_sapiens	I	E2F3_3752	19443739	TF_Information_all_motifs_plus.txt	6691	related_or_inferred_human	2	6	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T172616_2.00
M00154_2.00	T172616_2.00	E2F1	ENSG00000101412	Homo_sapiens	I	E2F2_1022	19443739	TF_Information_all_motifs_plus.txt	6692	related_or_inferred_human	2	6	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T172616_2.00
M00155_2.00	T176125_2.00	ELF5	ENSG00000135374	Homo_sapiens	I	Sfpi1_1034	19443739	TF_Information_all_motifs_plus.txt	10004	related_or_inferred_human	2	4	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T176125_2.00
M00156_2.00	T176124_2.00	EHF	ENSG00000135373	Homo_sapiens	I	Elf3_3876	19443739	TF_Information_all_motifs_plus.txt	9908	related_or_inferred_human	2	8	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T176124_2.00
M00157_2.00	T176120_2.00	ELF1	ENSG00000120690	Homo_sapiens	I	Gabpa_2829	19443739	TF_Information_all_motifs_plus.txt	9077	related_or_inferred_human	2	20	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T176120_2.00
M00158_2.00	T176124_2.00	EHF	ENSG00000135373	Homo_sapiens	I	Ehf_3056	19443739	TF_Information_all_motifs_plus.txt	9909	related_or_inferred_human	2	9	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T176124_2.00
M00159_2.00	T176120_2.00	ELF1	ENSG00000120690	Homo_sapiens	I	Spdef_0905	19443739	TF_Information_all_motifs_plus.txt	9079	related_or_inferred_human	2	4	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T176120_2.00
M00160_2.00	T185788_2.00	FOXC2	ENSG00000176692	Homo_sapiens	I	Foxj3_0982	19443739	TF_Information_all_motifs_plus.txt	13899	related_or_inferred_human	2	18	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185788_2.00
M00161_2.00	T185771_2.00	FOXJ1	ENSG00000129654	Homo_sapiens	I	Foxj1_3125	19443739	TF_Information_all_motifs_plus.txt	13012	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185771_2.00
M00162_2.00	T185770_2.00	FOXA1	ENSG00000129514	Homo_sapiens	I	Foxa2_2830	19443739	TF_Information_all_motifs_plus.txt	12954	related_or_inferred_human	2	6	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185770_2.00
M00163_2.00	T185780_2.00	FOXI1	ENSG00000168269	Homo_sapiens	I	Foxk1_2323	19443739	TF_Information_all_motifs_plus.txt	13338	related_or_inferred_human	2	4	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185780_2.00
M00164_2.00	T185761_2.00	FOXC1	ENSG00000054598	Homo_sapiens	I	Foxl1_2809	19443739	TF_Information_all_motifs_plus.txt	12565	related_or_inferred_human	2	30	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185761_2.00
M00165_2.00	T192722_2.00	GATA1	ENSG00000102145	Homo_sapiens	I	Gata6_3769	19443739	TF_Information_all_motifs_plus.txt	15561	related_or_inferred_human	2	6	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T192722_2.00
M00166_2.00	T192722_2.00	GATA1	ENSG00000102145	Homo_sapiens	I	Gata3_1024	19443739	TF_Information_all_motifs_plus.txt	15562	related_or_inferred_human	2	6	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T192722_2.00
M00167_2.00	T192722_2.00	GATA1	ENSG00000102145	Homo_sapiens	I	Gata5_3768	19443739	TF_Information_all_motifs_plus.txt	15563	related_or_inferred_human	2	6	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T192722_2.00
M00168_2.00	T197997_2.00	GCM1	ENSG00000137270	Homo_sapiens	I	Gcm1_3732	19443739	TF_Information_all_motifs_plus.txt	16192	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T197997_2.00
M00169_2.00	T209851_2.00	SIX3	ENSG00000138083	Homo_sapiens	I	Six6_2267	19443739	TF_Information_all_motifs_plus.txt	45153	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209851_2.00
M00170_2.00	T209929_2.00	DBX2	ENSG00000185610	Homo_sapiens	I	Nkx3-1_2923	19443739	TF_Information_all_motifs.txt	7219	related_or_inferred_human	2	4	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209929_2.00
M00171_2.00	T209858_2.00	HMBOX1	ENSG00000147421	Homo_sapiens	I	Tcf1_2666	19443739	TF_Information_all_motifs_plus.txt	47857	related_or_inferred_human	2	3	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209858_2.00
M00172_2.00	T209920_2.00	ALX1	ENSG00000180318	Homo_sapiens	I	Hoxa3_2783	19443739	TF_Information_all_motifs_plus.txt	67752	related_or_inferred_human	2	82	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209920_2.00
M00173_2.00	T244085_2.00	IRF9	ENSG00000213928	Homo_sapiens	I	Isgf3g_2853	19443739	TF_Information_all_motifs_plus.txt	79508	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T244085_2.00
M00174_2.00	T244079_2.00	IRF3	ENSG00000126456	Homo_sapiens	I	Irf3_3985	19443739	TF_Information_all_motifs_plus.txt	79410	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T244079_2.00
M00175_2.00	T244081_2.00	IRF4	ENSG00000137265	Homo_sapiens	I	Irf4_3476	19443739	TF_Information_all_motifs_plus.txt	79437	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T244081_2.00
M00176_2.00	T244080_2.00	IRF5	ENSG00000128604	Homo_sapiens	I	Irf6_3803	19443739	TF_Information_all_motifs_plus.txt	79419	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T244080_2.00
M00177_2.00	T244080_2.00	IRF5	ENSG00000128604	Homo_sapiens	I	Irf5_3874	19443739	TF_Information_all_motifs_plus.txt	79420	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T244080_2.00
M00178_2.00	T253657_2.00	SRF	ENSG00000112658	Homo_sapiens	I	Srf_3509	19443739	TF_Information_all_motifs_plus.txt	79702	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T253657_2.00
M00179_2.00	T269577_2.00	MYB	ENSG00000118513	Homo_sapiens	I	Myb_1047	19443739	TF_Information_all_motifs_plus.txt	79855	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T269577_2.00
M00180_2.00	T269577_2.00	MYB	ENSG00000118513	Homo_sapiens	I	Mybl1_1717	19443739	TF_Information_all_motifs_plus.txt	79856	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T269577_2.00
M00181_2.00	T303238_2.00	HNF4G	ENSG00000164749	Homo_sapiens	I	Rxra_1035	19443739	TF_Information_all_motifs_plus.txt	86094	related_or_inferred_human	2	28	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T303238_2.00
M00182_2.00	T303212_2.00	HNF4A	ENSG00000101076	Homo_sapiens	I	Hnf4a_2640	19443739	TF_Information_all_motifs_plus.txt	81290	related_or_inferred_human	2	9	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T303212_2.00
M00183_2.00	T303211_2.00	ESR1	ENSG00000091831	Homo_sapiens	I	Esrra_2190	19443739	TF_Information_all_motifs_plus.txt	81067	related_or_inferred_human	2	5	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T303211_2.00
M00184_2.00	T303211_2.00	ESR1	ENSG00000091831	Homo_sapiens	I	Nr2f2_2192	19443739	TF_Information_all_motifs_plus.txt	81068	related_or_inferred_human	2	35	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T303211_2.00
M00185_2.00	T303211_2.00	ESR1	ENSG00000091831	Homo_sapiens	I	Rara_1051	19443739	TF_Information_all_motifs_plus.txt	81069	related_or_inferred_human	2	28	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T303211_2.00
M00186_2.00	T318249_2.00	RFX1	ENSG00000132005	Homo_sapiens	I	Rfx4_3761	19443739	TF_Information_all_motifs_plus.txt	89991	related_or_inferred_human	2	6	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T318249_2.00
M00187_2.00	T318250_2.00	RFX5	ENSG00000143390	Homo_sapiens	I	Rfxdc2_3516	19443739	TF_Information_all_motifs_plus.txt	90048	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T318250_2.00
M00188_2.00	T318249_2.00	RFX1	ENSG00000132005	Homo_sapiens	I	Rfx3_3961	19443739	TF_Information_all_motifs_plus.txt	89992	related_or_inferred_human	2	6	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T318249_2.00
M00190_2.00	T321714_2.00	GMEB1	ENSG00000162419	Homo_sapiens	I	Gmeb1_1745	19443739	TF_Information_all_motifs_plus.txt	90286	related_or_inferred_human	2	2	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T321714_2.00
M00192_2.00	T324630_2.00	SMAD1	ENSG00000170365	Homo_sapiens	I	Smad3_3805	19443739	TF_Information_all_motifs_plus.txt	90486	related_or_inferred_human	2	3	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T324630_2.00
M00193_2.00	T328069_2.00	LEF1	ENSG00000138795	Homo_sapiens	I	Tcf7_0950	19443739	TF_Information_all_motifs_plus.txt	92557	related_or_inferred_human	2	4	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328069_2.00
M00194_2.00	T328060_2.00	HBP1	ENSG00000105856	Homo_sapiens	I	Hbp1_2241	19443739	TF_Information_all_motifs_plus.txt	91166	related_or_inferred_human	2	1	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328060_2.00
M00195_2.00	T328062_2.00	BBX	ENSG00000114439	Homo_sapiens	I	Cic_3454	19443739	TF_Information_all_motifs_plus.txt	91367	related_or_inferred_human	2	4	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328062_2.00
M00196_2.00	T328062_2.00	BBX	ENSG00000114439	Homo_sapiens	I	Bbx_3753	19443739	TF_Information_all_motifs_plus.txt	91368	related_or_inferred_human	2	3	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328062_2.00
M00197_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sox8_1733	19443739	TF_Information_all_motifs.txt	11828	related_or_inferred_human	2	21	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00198_2.00	T328069_2.00	LEF1	ENSG00000138795	Homo_sapiens	I	Tcf7l2_3461	19443739	TF_Information_all_motifs_plus.txt	92558	related_or_inferred_human	2	4	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328069_2.00
M00199_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sox17_2837	19443739	TF_Information_all_motifs.txt	11829	related_or_inferred_human	2	21	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00200_2.00	T328069_2.00	LEF1	ENSG00000138795	Homo_sapiens	I	Lef1_3504	19443739	TF_Information_all_motifs_plus.txt	92559	related_or_inferred_human	2	4	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328069_2.00
M00201_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sox30_2781	19443739	TF_Information_all_motifs.txt	11830	related_or_inferred_human	2	21	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00202_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sox15_3457	19443739	TF_Information_all_motifs.txt	11831	related_or_inferred_human	2	21	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00203_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sox5_3459	19443739	TF_Information_all_motifs.txt	11832	related_or_inferred_human	2	21	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00204_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sox18_3506	19443739	TF_Information_all_motifs.txt	11833	related_or_inferred_human	2	21	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00205_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sox12_3957	19443739	TF_Information_all_motifs.txt	11834	related_or_inferred_human	2	21	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00206_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sox14_2677	19443739	TF_Information_all_motifs.txt	11835	related_or_inferred_human	2	21	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00207_2.00	T328069_2.00	LEF1	ENSG00000138795	Homo_sapiens	I	Tcf3_3787	19443739	TF_Information_all_motifs_plus.txt	92560	related_or_inferred_human	2	4	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328069_2.00
M00208_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sox21_3417	19443739	TF_Information_all_motifs.txt	11836	related_or_inferred_human	2	21	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00209_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sox7_3460	19443739	TF_Information_all_motifs.txt	11837	related_or_inferred_human	2	21	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00210_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sox11_2266	19443739	TF_Information_all_motifs.txt	11838	related_or_inferred_human	2	21	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00211_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sry_2833	19443739	TF_Information_all_motifs.txt	11839	related_or_inferred_human	2	21	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00212_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sox13_1718	19443739	TF_Information_all_motifs.txt	11840	related_or_inferred_human	2	21	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00213_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sox4_2941	19443739	TF_Information_all_motifs.txt	11841	related_or_inferred_human	2	21	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00214_2.00	T328080_2.00	SOX1	ENSG00000182968	Homo_sapiens	I	Sox1_2631	19443739	TF_Information.txt	5570	related_or_inferred_human	2	22	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T328080_2.00
M00215_2.00	T339896_2.00	EOMES	ENSG00000163508	Homo_sapiens	I	Eomes_0921	19443739	TF_Information_all_motifs_plus.txt	95048	related_or_inferred_human	2	4	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T339896_2.00
M00216_2.00	T342320_2.00	TBP	ENSG00000112592	Homo_sapiens	I	Tbp_pr781	19443739	TF_Information_all_motifs_plus.txt	95157	related_or_inferred_human	2	4	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T342320_2.00
