motif_id	cisbp_tf_id	tf_name	tf_external_id	tf_species	tf_status	motif_source_id	pmid	url
M00254_2.00	T185761_2.00	FOXC1	ENSG00000054598	Homo_sapiens	D	FOXC1_I126M	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185761_2.00
M00255_2.00	T185761_2.00	FOXC1	ENSG00000054598	Homo_sapiens	D	FOXC1_L130F	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185761_2.00
M00256_2.00	T185761_2.00	FOXC1	ENSG00000054598	Homo_sapiens	D	FOXC1_P79L	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185761_2.00
M00257_2.00	T185761_2.00	FOXC1	ENSG00000054598	Homo_sapiens	D	FOXC1_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185761_2.00
M00258_2.00	T185761_2.00	FOXC1	ENSG00000054598	Homo_sapiens	D	FOXC1_S131L	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185761_2.00
M00259_2.00	T185761_2.00	FOXC1	ENSG00000054598	Homo_sapiens	D	FOXC1_S82T	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T185761_2.00
M00260_2.00	T209764_2.00	ARX	ENSG00000004848	Homo_sapiens	D	ARX_L343Q	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209764_2.00
M00261_2.00	T209764_2.00	ARX	ENSG00000004848	Homo_sapiens	D	ARX_P353L	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209764_2.00
M00262_2.00	T209764_2.00	ARX	ENSG00000004848	Homo_sapiens	D	ARX_P353R	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209764_2.00
M00263_2.00	T209764_2.00	ARX	ENSG00000004848	Homo_sapiens	D	ARX_R332H	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209764_2.00
M00264_2.00	T209764_2.00	ARX	ENSG00000004848	Homo_sapiens	D	ARX_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209764_2.00
M00265_2.00	T209764_2.00	ARX	ENSG00000004848	Homo_sapiens	D	ARX_T333N	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209764_2.00
M00266_2.00	T209778_2.00	VSX1	ENSG00000100987	Homo_sapiens	D	VSX1_G160D	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209778_2.00
M00267_2.00	T209778_2.00	VSX1	ENSG00000100987	Homo_sapiens	D	VSX1_Q175H	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209778_2.00
M00268_2.00	T209778_2.00	VSX1	ENSG00000100987	Homo_sapiens	D	VSX1_R166Q	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209778_2.00
M00269_2.00	T209778_2.00	VSX1	ENSG00000100987	Homo_sapiens	D	VSX1_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209778_2.00
M00270_2.00	T209782_2.00	CRX	ENSG00000105392	Homo_sapiens	D	CRX_E80A	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209782_2.00
M00271_2.00	T209782_2.00	CRX	ENSG00000105392	Homo_sapiens	D	CRX_R41Q	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209782_2.00
M00272_2.00	T209782_2.00	CRX	ENSG00000105392	Homo_sapiens	D	CRX_R41W	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209782_2.00
M00273_2.00	T209782_2.00	CRX	ENSG00000105392	Homo_sapiens	D	CRX_R90W	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209782_2.00
M00274_2.00	T209782_2.00	CRX	ENSG00000105392	Homo_sapiens	D	CRX_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209782_2.00
M00275_2.00	T209782_2.00	CRX	ENSG00000105392	Homo_sapiens	D	CRX_V66I	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209782_2.00
M00276_2.00	T209784_2.00	PBX4	ENSG00000105717	Homo_sapiens	D	PBX4_R215Q	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209784_2.00
M00277_2.00	T209784_2.00	PBX4	ENSG00000105717	Homo_sapiens	D	PBX4_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209784_2.00
M00278_2.00	T209802_2.00	PHOX2B	ENSG00000109132	Homo_sapiens	D	PHOX2B_Q143R	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209802_2.00
M00279_2.00	T209802_2.00	PHOX2B	ENSG00000109132	Homo_sapiens	D	PHOX2B_R100L	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209802_2.00
M00280_2.00	T209802_2.00	PHOX2B	ENSG00000109132	Homo_sapiens	D	PHOX2B_R141G	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209802_2.00
M00281_2.00	T209802_2.00	PHOX2B	ENSG00000109132	Homo_sapiens	D	PHOX2B_R141Q	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209802_2.00
M00282_2.00	T209802_2.00	PHOX2B	ENSG00000109132	Homo_sapiens	D	PHOX2B_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209802_2.00
M00283_2.00	T209811_2.00	VAX2	ENSG00000116035	Homo_sapiens	D	VAX2_L139M	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209811_2.00
M00284_2.00	T209811_2.00	VAX2	ENSG00000116035	Homo_sapiens	D	VAX2_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209811_2.00
M00285_2.00	T209814_2.00	VSX2	ENSG00000119614	Homo_sapiens	D	VSX2_R200P	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209814_2.00
M00286_2.00	T209814_2.00	VSX2	ENSG00000119614	Homo_sapiens	D	VSX2_R200Q	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209814_2.00
M00287_2.00	T209814_2.00	VSX2	ENSG00000119614	Homo_sapiens	D	VSX2_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209814_2.00
M00288_2.00	T209820_2.00	MSX2	ENSG00000120149	Homo_sapiens	D	MSX2_P148H	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209820_2.00
M00289_2.00	T209820_2.00	MSX2	ENSG00000120149	Homo_sapiens	D	MSX2_R172H	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209820_2.00
M00290_2.00	T209820_2.00	MSX2	ENSG00000120149	Homo_sapiens	D	MSX2_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209820_2.00
M00291_2.00	T209826_2.00	ESX1	ENSG00000123576	Homo_sapiens	D	ESX1_K193R	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209826_2.00
M00292_2.00	T209826_2.00	ESX1	ENSG00000123576	Homo_sapiens	D	ESX1_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209826_2.00
M00293_2.00	T209836_2.00	HOXD13	ENSG00000128714	Homo_sapiens	D	HOXD13_I297V	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209836_2.00
M00294_2.00	T209836_2.00	HOXD13	ENSG00000128714	Homo_sapiens	D	HOXD13_I322L	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209836_2.00
M00295_2.00	T209836_2.00	HOXD13	ENSG00000128714	Homo_sapiens	D	HOXD13_N298S	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209836_2.00
M00296_2.00	T209836_2.00	HOXD13	ENSG00000128714	Homo_sapiens	D	HOXD13_Q325K	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209836_2.00
M00297_2.00	T209836_2.00	HOXD13	ENSG00000128714	Homo_sapiens	D	HOXD13_Q325R	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209836_2.00
M00298_2.00	T209836_2.00	HOXD13	ENSG00000128714	Homo_sapiens	D	HOXD13_R306W	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209836_2.00
M00299_2.00	T209836_2.00	HOXD13	ENSG00000128714	Homo_sapiens	D	HOXD13_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209836_2.00
M00300_2.00	T209836_2.00	HOXD13	ENSG00000128714	Homo_sapiens	D	HOXD13_S316C	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209836_2.00
M00301_2.00	T209846_2.00	NKX2-8	ENSG00000136327	Homo_sapiens	D	NKX2-8_A94T	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209846_2.00
M00302_2.00	T209846_2.00	NKX2-8	ENSG00000136327	Homo_sapiens	D	NKX2-8_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209846_2.00
M00303_2.00	T209862_2.00	VENTX	ENSG00000151650	Homo_sapiens	D	VENTX_E101K	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209862_2.00
M00304_2.00	T209862_2.00	VENTX	ENSG00000151650	Homo_sapiens	D	VENTX_R143C	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209862_2.00
M00305_2.00	T209862_2.00	VENTX	ENSG00000151650	Homo_sapiens	D	VENTX_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209862_2.00
M00306_2.00	T209875_2.00	HESX1	ENSG00000163666	Homo_sapiens	D	HESX1_E149K	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209875_2.00
M00307_2.00	T209875_2.00	HESX1	ENSG00000163666	Homo_sapiens	D	HESX1_N125S	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209875_2.00
M00308_2.00	T209875_2.00	HESX1	ENSG00000163666	Homo_sapiens	D	HESX1_R160C	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209875_2.00
M00309_2.00	T209875_2.00	HESX1	ENSG00000163666	Homo_sapiens	D	HESX1_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209875_2.00
M00310_2.00	T209876_2.00	PITX2	ENSG00000164093	Homo_sapiens	D	PITX2_L100Q	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209876_2.00
M00311_2.00	T209876_2.00	PITX2	ENSG00000164093	Homo_sapiens	D	PITX2_R108H	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209876_2.00
M00312_2.00	T209876_2.00	PITX2	ENSG00000164093	Homo_sapiens	D	PITX2_R130W	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209876_2.00
M00313_2.00	T209876_2.00	PITX2	ENSG00000164093	Homo_sapiens	D	PITX2_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209876_2.00
M00314_2.00	T209876_2.00	PITX2	ENSG00000164093	Homo_sapiens	D	PITX2_T114P	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209876_2.00
M00315_2.00	T209908_2.00	PROP1	ENSG00000175325	Homo_sapiens	D	PROP1_R112Q	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209908_2.00
M00316_2.00	T209908_2.00	PROP1	ENSG00000175325	Homo_sapiens	D	PROP1_R99Q	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209908_2.00
M00317_2.00	T209908_2.00	PROP1	ENSG00000175325	Homo_sapiens	D	PROP1_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209908_2.00
M00318_2.00	T209909_2.00	ISX	ENSG00000175329	Homo_sapiens	D	ISX_R83Q	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209909_2.00
M00319_2.00	T209909_2.00	ISX	ENSG00000175329	Homo_sapiens	D	ISX_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209909_2.00
M00320_2.00	T209925_2.00	NKX2-5	ENSG00000183072	Homo_sapiens	D	NKX2-5_K183E	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209925_2.00
M00321_2.00	T209925_2.00	NKX2-5	ENSG00000183072	Homo_sapiens	D	NKX2-5_R161P	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209925_2.00
M00322_2.00	T209925_2.00	NKX2-5	ENSG00000183072	Homo_sapiens	D	NKX2-5_R190C	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209925_2.00
M00323_2.00	T209925_2.00	NKX2-5	ENSG00000183072	Homo_sapiens	D	NKX2-5_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209925_2.00
M00324_2.00	T209925_2.00	NKX2-5	ENSG00000183072	Homo_sapiens	D	NKX2-5_T178M	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209925_2.00
M00325_2.00	T209927_2.00	SIX6	ENSG00000184302	Homo_sapiens	D	SIX6_H141N	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209927_2.00
M00326_2.00	T209927_2.00	SIX6	ENSG00000184302	Homo_sapiens	D	SIX6_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209927_2.00
M00327_2.00	T209927_2.00	SIX6	ENSG00000184302	Homo_sapiens	D	SIX6_T165A	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209927_2.00
M00328_2.00	T209939_2.00	HOXC4	ENSG00000198353	Homo_sapiens	D	HOXC4_N178S	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209939_2.00
M00329_2.00	T209939_2.00	HOXC4	ENSG00000198353	Homo_sapiens	D	HOXC4_R158L	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209939_2.00
M00330_2.00	T209939_2.00	HOXC4	ENSG00000198353	Homo_sapiens	D	HOXC4_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209939_2.00
M00331_2.00	T209955_2.00	HOXB7	ENSG00000260027	Homo_sapiens	D	HOXB7_K191R	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209955_2.00
M00332_2.00	T209955_2.00	HOXB7	ENSG00000260027	Homo_sapiens	D	HOXB7_M190L	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209955_2.00
M00333_2.00	T209955_2.00	HOXB7	ENSG00000260027	Homo_sapiens	D	HOXB7_R189C	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209955_2.00
M00334_2.00	T209955_2.00	HOXB7	ENSG00000260027	Homo_sapiens	D	HOXB7_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T209955_2.00
M00335_2.00	T237339_2.00	PAX6	ENSG00000007372	Homo_sapiens	D	PAX6_A79E	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237339_2.00
M00336_2.00	T237339_2.00	PAX6	ENSG00000007372	Homo_sapiens	D	PAX6_F258S	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237339_2.00
M00337_2.00	T237339_2.00	PAX6	ENSG00000007372	Homo_sapiens	D	PAX6_P118R	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237339_2.00
M00338_2.00	T237339_2.00	PAX6	ENSG00000007372	Homo_sapiens	D	PAX6_P68S	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237339_2.00
M00339_2.00	T237339_2.00	PAX6	ENSG00000007372	Homo_sapiens	D	PAX6_R128C	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237339_2.00
M00340_2.00	T237339_2.00	PAX6	ENSG00000007372	Homo_sapiens	D	PAX6_R242T	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237339_2.00
M00341_2.00	T237339_2.00	PAX6	ENSG00000007372	Homo_sapiens	D	PAX6_R26G	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237339_2.00
M00342_2.00	T237339_2.00	PAX6	ENSG00000007372	Homo_sapiens	D	PAX6_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237339_2.00
M00343_2.00	T237339_2.00	PAX6	ENSG00000007372	Homo_sapiens	D	PAX6_S119R	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237339_2.00
M00344_2.00	T237339_2.00	PAX6	ENSG00000007372	Homo_sapiens	D	PAX6_V126D	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237339_2.00
M00345_2.00	T237340_2.00	PAX7	ENSG00000009709	Homo_sapiens	D	PAX7_P112L	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237340_2.00
M00346_2.00	T237340_2.00	PAX7	ENSG00000009709	Homo_sapiens	D	PAX7_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237340_2.00
M00347_2.00	T237342_2.00	PAX4	ENSG00000106331	Homo_sapiens	D	PAX4_R183C	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237342_2.00
M00348_2.00	T237342_2.00	PAX4	ENSG00000106331	Homo_sapiens	D	PAX4_R192H	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237342_2.00
M00349_2.00	T237342_2.00	PAX4	ENSG00000106331	Homo_sapiens	D	PAX4_R192S	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237342_2.00
M00350_2.00	T237342_2.00	PAX4	ENSG00000106331	Homo_sapiens	D	PAX4_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237342_2.00
M00351_2.00	T237342_2.00	PAX4	ENSG00000106331	Homo_sapiens	D	PAX4_REF_R3	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237342_2.00
M00352_2.00	T237343_2.00	PAX3	ENSG00000135903	Homo_sapiens	D	PAX3_G48R	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237343_2.00
M00353_2.00	T237343_2.00	PAX3	ENSG00000135903	Homo_sapiens	D	PAX3_N47H	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237343_2.00
M00354_2.00	T237343_2.00	PAX3	ENSG00000135903	Homo_sapiens	D	PAX3_N47K	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237343_2.00
M00355_2.00	T237343_2.00	PAX3	ENSG00000135903	Homo_sapiens	D	PAX3_P50L	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237343_2.00
M00356_2.00	T237343_2.00	PAX3	ENSG00000135903	Homo_sapiens	D	PAX3_R270C	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237343_2.00
M00357_2.00	T237343_2.00	PAX3	ENSG00000135903	Homo_sapiens	D	PAX3_R56L	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237343_2.00
M00358_2.00	T237343_2.00	PAX3	ENSG00000135903	Homo_sapiens	D	PAX3_REF	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237343_2.00
M00359_2.00	T237343_2.00	PAX3	ENSG00000135903	Homo_sapiens	D	PAX3_Y90H	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T237343_2.00
M00360_2.00	T238190_2.00	POU4F3	ENSG00000091010	Homo_sapiens	D	POU4F3_L289F	27013732	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T238190_2.00
